"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"AC079325.6",5,0,2,1,68,3,61,737,3,13,0,2,36,0,2,1,2,3,9,3,1,0,0,15,2,3,2,7,6,0,0,4,6,0,2,12,1,9,0,4,0,3,15,0,10,1,1,0,10,0,4,0,2,23,0,0,1,0,5,9,11,3,0,8,2,35,22,6
"AC087793.1",1,0,0,1,0,4,1,0,2,4,2,1,3,0,1,2,10,0,0,2,3,0,0,2,0,0,0,3,0,3,2,0,0,2,0,0,1,1,1,0,3,1,0,2,6,4,7,2,2,2,4,0,1,0,1,2,4,0,1,0,3,5,2,2,1,7,0,5
"AC092415.1",0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,7,0,8,1,0,0,0,3,0,3,0,4,1,2,0,4,17,3,1,0,0,1,0,3,1,1,0,0,0,0,4,1,9,0,1,2,0,0,0,0,3,1,6,0,0,0,0,1,0,2,1,0,0
"AC092652.1",2,7,10,1,0,9,8,0,15,1,25,14,1,0,1,9,12,33,2,34,31,0,24,3,6,0,6,53,2,34,4,3,0,15,23,5,27,9,37,0,32,21,1,34,38,43,14,26,25,18,29,15,11,1,27,41,23,22,0,3,4,3,4,44,47,3,3,11
"AC103563.2",28,3,16,2,198,88,20,171,114,681,56,56,40,13,9,27,18,21,259,55,28,0,4,49,3,541,13,12,42,8,8,3,18,3,52,76,10,61,30,116,52,103,159,28,27,5,33,92,21,5,99,17,6,87,28,124,55,3,676,700,3907,4,41,22,13,994,15,94
"AC105402.2",2,19,0,0,0,0,4,0,3,1,23,4,2,7,0,2,5,1,1,0,16,0,3,3,18,1,8,23,2,0,0,14,0,27,10,0,7,1,19,1,21,11,0,19,31,29,7,32,7,14,17,15,14,0,21,10,24,17,0,0,0,0,6,44,13,6,0,11
"AC105402.4",1,10,2,0,0,0,6,1,9,2,13,6,0,24,1,4,15,2,4,0,11,0,2,1,8,1,4,29,12,1,0,8,0,29,14,2,8,2,11,0,31,7,1,16,8,25,7,28,9,20,20,6,7,0,24,17,21,23,0,0,0,0,4,25,15,9,2,23
"AC108463.2",7,0,13,2,20,4,13,38,1,20,1,2,68,0,5,8,12,9,9,3,7,0,3,16,1,7,2,3,7,1,0,3,1,0,6,12,4,4,3,26,6,6,42,10,2,4,4,0,2,3,1,1,2,38,3,4,1,0,23,45,17,7,0,4,6,11,14,2
"AC115522.3",29,2,7,7,20,15,20,17,9,41,3,4,3,6,76,3,8,4,13,3,9,0,4,19,3,76,2,5,12,7,5,3,87,8,4,59,0,8,2,39,1,7,49,6,2,15,1,1,0,2,2,2,2,24,7,0,3,10,30,19,46,1,1,4,6,9,34,5
"AC116366.5",9,2,1,2,10,9,8,27,6,29,0,2,12,5,8,3,3,4,7,0,3,0,3,5,0,6,0,6,1,1,5,7,5,7,1,10,2,5,1,20,2,4,23,2,0,3,0,11,0,1,0,3,4,16,1,3,0,0,13,23,4,2,3,0,4,10,12,5
"AC121251.1",8,0,1,0,8,8,4,22,0,9,1,8,16,0,7,3,4,3,4,0,4,0,0,4,0,0,1,0,2,4,1,2,1,0,5,8,4,5,2,18,1,2,27,5,5,3,0,1,0,6,3,4,2,33,2,4,2,0,9,18,19,0,0,4,2,16,12,4
"AC123023.1",1,1,0,0,8,3,5,0,3,0,1,0,1,0,15,2,0,1,8,0,1,0,0,4,0,5,1,1,0,0,0,0,13,2,4,8,1,0,2,0,0,3,5,0,2,2,0,0,0,1,3,0,0,4,2,0,1,0,4,7,5,2,0,0,0,4,8,0
"AC129778.7",11,0,0,1,6,4,3,9,0,13,3,4,3,0,1,1,0,0,3,1,3,0,1,7,0,1,0,1,0,1,3,0,0,0,0,1,2,3,3,1,0,4,3,3,2,2,1,3,1,4,1,0,2,53,0,0,0,0,5,9,6,1,2,2,0,10,5,0
"AC137932.6",3,2,0,0,1,2,1,11,0,2,0,1,3,0,6,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,2,0,1,1,7,3,0,2,1,0,0,0,0,0,1,0,0,0,4,0,1,1,1,1,6,1,0,0,0,1,0,0,0
"AKR1D1",3,0,0,0,11,8,0,3,0,4,1,4,30,0,1,2,1,0,1,4,3,0,0,3,0,5,2,0,3,1,1,0,1,2,3,3,5,4,1,4,0,0,9,1,2,0,2,0,2,1,2,1,0,8,1,0,0,1,6,3,9,1,0,1,1,6,13,0
"AL121578.7",1,0,0,45,4,5,10,3,1,2,0,4,0,7,2,0,15,0,14,2,2,0,3,18,2,37,7,4,6,3,2,4,24,8,1,20,1,2,0,6,1,1,1,0,0,0,2,1,3,3,0,3,7,1,2,0,2,0,3,2,8,0,3,0,9,9,27,2
"AL133373.1",13,2,0,14,4,2,25,2,4,23,3,2,0,10,21,7,21,3,7,1,7,0,9,6,0,21,8,5,6,0,7,14,27,3,3,19,6,23,4,17,0,3,21,0,2,0,4,2,3,0,1,0,3,3,4,1,2,1,17,13,21,3,0,0,6,20,42,4
"ALDH1A2",112,133,38,199,713,8,359,129,230,754,42,117,51,649,3631,604,805,31,1334,23,458,0,32,2827,694,2457,843,117,819,41,34,124,4849,150,104,5038,216,1777,26,1387,42,200,1048,20,133,134,147,59,83,40,51,88,120,237,83,299,37,115,2868,611,5190,12,268,172,584,2172,1620,149
"ALOXE3",2,1,0,0,1,4,5,7,1,6,1,1,1,0,3,2,4,0,1,0,4,0,0,3,0,5,1,2,0,0,0,3,4,0,1,2,0,0,0,2,0,0,9,1,1,1,0,0,0,0,0,0,2,7,1,0,3,0,0,13,5,1,0,2,2,0,4,1
"ANGPT2",81,21,264,13,351,167,254,837,103,459,58,84,1023,24,155,71,93,71,121,51,111,0,52,191,23,105,29,54,67,91,12,27,38,50,25,237,68,166,32,273,50,60,520,50,58,90,78,52,27,41,113,35,72,762,45,79,62,50,389,695,233,60,43,97,93,129,392,84
"ANXA1",3344,521,5062,1780,14538,3662,4669,15705,2299,20233,1259,2279,7732,495,43382,2012,2266,2108,4976,1511,2555,22,1945,3745,680,15158,671,2136,1457,1980,867,881,6081,944,1470,33431,1551,2974,2177,32096,1794,2851,15940,2130,3174,1811,1780,3016,1210,1368,2413,1364,1522,13766,2267,1867,1282,1112,12882,13257,4267,1972,548,2583,2781,3395,9054,1748
"AP000695.4",1,0,5,0,5,5,5,15,0,5,1,0,12,0,1,1,3,0,1,0,0,0,1,4,0,5,0,0,1,1,0,1,0,0,1,2,0,1,0,10,0,0,4,1,4,0,0,1,2,1,0,0,0,5,0,2,0,0,2,6,0,0,0,0,1,2,5,0
"AP001046.5",46,0,13,7,77,28,46,215,11,107,4,17,291,1,20,18,17,14,25,9,18,0,4,30,5,25,4,11,15,13,4,13,6,6,6,53,7,26,7,128,3,26,159,16,15,18,13,34,6,7,8,6,5,144,2,8,6,6,87,88,73,20,0,19,17,43,57,10
"APLN",13,7,50,15,59,63,99,92,43,64,10,24,327,4,39,11,14,14,31,14,24,0,13,123,6,69,6,18,14,6,9,6,6,11,17,65,21,24,6,76,21,9,166,14,19,9,3,16,2,8,7,5,9,119,5,18,10,22,162,82,67,29,14,33,33,70,64,17
"APOBEC1",77,34,146,25,555,647,62,174,200,370,13,27,35,108,335,14,22,19,104,88,22,2,35,156,61,215,58,69,27,42,88,244,397,65,9,183,21,160,46,282,10,40,264,5,22,6,49,20,33,15,6,12,11,25,16,7,30,26,134,283,108,2393,18,30,20,172,82,61
"APOL1",13155,1686,3660,1274,32841,16817,9092,11787,5736,26088,1558,2114,15365,4881,26855,4276,1846,1928,4264,1242,5210,4,2251,7305,1721,6829,3885,2255,2736,2319,3623,3205,13125,3086,1438,7531,1708,7716,1893,10657,1881,4723,21034,1716,2654,2368,1831,3429,1463,1311,2060,1604,2317,9180,2225,1972,1693,1787,8233,15502,7933,3290,1702,2278,1347,5342,8779,2437
"ARHGAP36",0,17,0,3,2,0,0,0,9,0,10,6,0,25,2,10,5,22,11,44,8,0,49,2,4,1,3,52,21,13,24,14,0,18,20,3,9,6,26,0,15,7,0,29,10,16,10,51,12,14,35,23,19,1,15,15,24,39,4,0,8,0,1,28,15,6,7,7
"ART3",23,10,2,11,262,375,307,41,30,431,30,30,54,5,86,26,26,43,32,39,32,0,34,41,12,206,21,48,14,20,30,5,73,18,30,33,12,94,46,181,21,50,628,38,30,29,24,39,23,21,24,20,8,152,18,29,10,0,325,145,174,4,4,36,31,129,62,40
"ASS1P6",1,2,1,1,1,2,5,0,3,12,0,2,0,2,20,1,3,2,5,0,2,0,2,2,2,5,2,0,1,1,0,3,2,2,0,8,3,0,1,5,2,0,3,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,1,6,3,0,1,1,1,3,3,1
"BGN",945,74,1356,89,3127,3346,2110,7708,681,3764,376,519,20311,111,726,558,640,473,566,337,1100,1,340,1799,58,851,108,803,862,381,117,205,275,111,396,1793,386,1277,352,4293,370,1199,5854,795,745,684,260,1047,503,363,487,318,527,4332,594,232,294,199,3159,4737,2033,559,113,611,609,1208,3203,601
