"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"IGJCOR18",4,0,0,0,4,1,4,4,1,9,1,0,5,1,1,7,1,1,1,0,4,0,0,5,0,2,0,0,0,2,1,1,0,0,0,3,2,3,0,2,1,5,6,1,1,0,1,1,0,1,0,0,1,15,2,3,0,0,4,4,3,0,0,1,0,7,5,2
"IGKV1D-43",20,3,9,3,23,18,23,135,7,39,12,27,45,0,13,10,65,14,88,17,127,0,29,12,0,47,1,11,16,9,5,24,0,25,12,4,2,70,5,28,30,28,122,11,17,12,4,18,4,5,12,10,11,489,15,52,13,1,150,27,74,4,2,9,12,60,13,16
"IGKV1OR22-1",22,0,2,0,9,10,6,36,4,39,9,21,7,1,0,5,4,4,2,4,10,0,0,5,0,5,2,3,1,1,6,1,1,0,4,223,2,4,5,11,2,5,14,10,3,2,1,11,8,5,4,2,1,39,5,4,12,0,17,18,6,1,0,4,3,27,7,2
"IGKV2-40",0,0,1,2,5,3,0,2,1,2,0,10,3,0,0,0,0,1,3,1,3,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,2,1,7,0,0,17,0,1,1,1,2,0,1,5,0,0,17,1,1,0,0,1,5,3,1,0,0,4,3,1,0
"IGKV2D-29",9,145,1192,391,7428,3227,3345,13922,541,4594,762,3082,5563,312,567,411,363,965,2251,144,5867,0,365,724,62,1247,464,1270,554,1030,485,310,461,166,278,1710,1578,353,1203,5379,608,1038,24652,1244,1987,1158,468,2588,411,336,1315,826,864,4414,1148,1359,1174,304,3247,3703,2683,50,151,1126,801,4517,1630,1046
"IGKV2D-40",132,27,826,68,9868,1073,66,3253,136,733,228,914,289,6,227,264,176,209,800,41,123,0,27,1477,3,276,39,90,237,312,38,91,16,7,125,632,407,302,288,15254,279,350,2325,581,259,320,457,792,148,342,966,186,172,11533,417,220,156,79,1094,6208,2907,89,62,623,358,577,1057,52
"IGLON5",5,1,1,0,15,1,7,37,0,23,2,1,29,0,7,1,9,0,4,2,1,0,1,3,0,10,0,2,0,0,1,0,7,1,0,3,1,6,0,6,0,1,5,1,0,2,2,0,0,0,0,2,0,5,2,0,0,0,3,15,4,2,0,2,2,4,11,1
"IGLV1-41",13,0,6,0,46,107,7,84,18,49,13,13,16,4,30,8,10,9,328,26,54,0,5,57,1,19,7,11,15,5,4,19,2,3,3,8,19,12,14,20,5,40,252,21,60,9,30,26,9,3,21,2,9,83,11,19,37,4,15,30,27,9,3,17,26,24,32,8
"IGLV3-22",3,0,1,1,7,6,1,63,3,17,8,7,35,0,1,1,3,5,76,0,5,0,0,4,0,1,1,2,1,0,1,1,0,1,42,1,3,20,9,6,2,6,22,1,0,4,1,21,3,1,0,1,2,96,4,1,3,3,11,4,6,4,0,7,11,16,49,0
"IL2RA",732,33,88,50,998,680,903,1407,238,1065,51,112,4268,24,265,194,159,120,315,95,367,0,107,409,64,1069,73,196,729,139,103,159,311,65,91,1560,122,315,122,1752,153,586,1764,129,398,181,69,305,56,161,72,66,133,1801,165,170,70,86,528,705,719,350,55,150,339,861,2175,133
"IL36A",0,0,0,0,1,0,1,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,25,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,1,8,2,0,0,1,0,1,0
"IL4",1,0,0,0,4,0,7,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,1,2,0,0,2,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,5,15,2,3,0,0,1,4,4,0
"IL5",1,2,0,2,10,0,1,27,0,2,3,3,14,2,3,3,4,1,4,0,0,0,2,2,2,2,1,0,6,1,0,0,0,1,0,7,2,0,0,1,0,0,8,4,2,0,1,2,0,0,0,2,4,6,0,1,0,0,13,26,2,0,0,0,1,2,26,0
"ITGA5",1021,211,3031,252,4856,2886,2637,10614,1213,3729,318,827,8417,287,1127,627,1383,619,884,689,1171,3,427,1744,152,1330,244,839,680,591,223,362,569,222,647,3049,624,1201,683,3239,622,1053,4965,662,852,704,395,1041,301,443,617,415,806,5952,642,624,492,539,2838,4207,2297,727,230,886,885,1066,3052,580
"KCNE1L",0,0,1,0,17,1,0,21,0,6,0,0,2,0,1,0,1,3,1,1,3,0,1,3,0,2,0,0,0,0,1,0,2,0,0,1,0,4,0,4,0,1,3,0,1,0,0,1,0,0,3,1,0,4,0,2,0,2,1,4,0,0,0,0,0,3,8,0
"KIAA1549L",15,6,6,468,17,51,13,131,20,41,3,21,21,4,350,6,104,4,7,6,10,0,7,51,2,35,9,13,16,7,5,9,44,12,5,56,5,13,9,27,5,7,49,9,18,6,2,0,5,5,6,2,34,63,4,2,0,3,18,74,29,22,3,95,51,5,74,17
"KLK12",160,71,237,174,353,368,75,56,95,86,26,31,0,41,696,284,54,13,172,20,34,0,9,78,44,51,37,66,54,13,29,10,40,14,80,145,82,194,36,93,66,58,221,13,13,19,16,17,34,6,54,18,20,43,36,72,36,19,84,69,81,98,8,134,26,212,197,52
"KLKP1",1,0,0,1,0,0,0,0,0,1,0,4,3,0,0,0,0,8,0,13,0,0,3,1,1,0,1,4,0,4,1,1,0,1,1,0,4,0,0,0,0,0,0,3,3,0,0,0,1,6,2,0,1,0,1,2,1,0,2,1,0,1,1,0,0,1,0,2
"KRT2",72,6,4,20,22,9,100,3,24,92,5,14,1,19,251,37,10,6,67,3,32,0,13,56,10,97,19,29,49,6,18,17,47,11,16,79,13,120,11,144,3,51,24,6,23,8,3,37,2,7,7,8,6,40,5,13,4,7,111,80,273,11,14,13,26,49,63,11
"KRT6C",0,0,0,2,1,0,1,3,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,6,0,0,16,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2,3,1,0,0,2,1,0,0,0
"KRT73",2,0,0,2,0,2,10,8,2,3,1,0,4,1,7,1,0,0,1,2,3,0,0,0,0,2,0,2,0,1,1,1,1,1,3,3,0,7,0,2,0,4,7,1,4,0,0,0,1,0,0,0,1,2,0,0,0,1,4,16,4,4,1,2,7,4,13,0
"L1TD1",1367,295,684,1101,1489,33,635,359,27,1373,79,60,189,267,580,233,208,315,1469,445,219,0,450,1191,75,2421,196,332,204,435,780,82,653,91,124,1158,175,646,318,399,245,316,1058,235,160,77,120,193,58,102,23,16,87,532,116,30,188,187,1322,544,3016,43,147,297,106,637,515,333
"LGALS12",19,0,22,7,43,52,15,34,1,106,2,4,30,0,26,4,3,0,18,9,0,0,2,41,3,11,1,12,9,10,6,1,22,12,1,11,2,14,9,30,8,7,38,19,0,2,0,0,3,2,6,0,8,25,2,2,11,0,19,105,41,15,1,8,3,45,26,31
"LGALS14",0,0,0,2,0,0,0,3,1,0,0,10,1,8,0,2,0,0,0,0,3,0,0,0,74,2,14,0,0,0,11,0,0,2,0,0,1,2,2,0,2,1,0,0,2,9,14,1,4,2,0,0,7,0,0,0,6,0,0,1,0,0,0,2,0,1,1,0
"LILRA1",77,1,74,5,566,83,335,981,41,279,9,26,461,2,65,50,15,33,55,19,66,0,29,93,21,81,12,65,45,23,15,8,63,13,12,106,24,76,28,143,30,81,215,39,69,18,17,63,10,18,14,2,31,419,13,15,13,11,96,306,161,51,5,79,63,79,244,24
"LINC00114",21,11,10,49,97,24,146,11,32,177,7,20,6,23,223,25,18,22,59,30,20,0,23,126,20,155,18,8,20,18,30,8,79,12,3,189,17,60,14,119,7,34,52,7,18,10,3,2,4,3,11,5,15,53,7,18,8,15,129,66,256,13,16,20,25,48,100,14
"LINC00200",16,16,0,0,2,0,3,0,1,1,1,0,1,0,0,0,1,4,36,0,1,0,1,82,1,4,3,1,8,0,1,0,1,0,0,0,0,15,0,14,0,0,3,4,3,1,0,0,0,0,5,0,0,0,9,52,0,5,0,4,49,0,0,0,1,1,4,13
"LINC00211",1,0,5,3,17,3,8,9,3,9,2,2,9,0,5,0,1,0,3,2,2,0,0,7,0,5,0,3,0,1,0,0,1,1,0,8,0,1,1,4,0,0,5,3,2,5,0,3,0,0,0,1,1,24,0,1,1,0,4,4,1,1,0,0,0,1,3,2
"LINC00615",1,0,0,0,6,0,0,1,0,6,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,0,9,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,5,0
"LINC00840",2,1,10,3,20,7,9,42,3,11,2,1,19,2,0,1,3,5,4,0,0,0,0,6,0,3,0,3,1,8,1,0,0,1,0,6,0,3,0,0,2,0,6,2,0,6,0,2,1,0,1,2,4,18,1,0,1,4,7,6,10,3,2,3,0,4,19,6
"LRP8",191,64,95,644,477,167,817,438,247,769,52,82,330,69,626,97,184,61,156,67,102,1,78,300,22,442,34,97,230,68,61,123,100,42,62,422,66,107,89,521,69,109,534,54,72,58,44,80,17,58,45,28,132,597,63,55,57,58,478,721,429,97,40,123,175,276,443,96
"LRRIQ4",36,10,44,58,70,89,3,28,7,2,11,2,2,2,10,3,1,4,1,0,1,0,0,2,0,3,7,1,1,3,20,2,0,4,3,3,1,1,1,1,4,2,9,4,3,9,3,5,0,17,6,8,4,2,1,2,0,8,4,2,5,5,0,0,4,4,4,0
"LRRN2",115,1702,87,621,55,121,185,54,504,99,838,377,260,2354,107,674,619,1425,50,1813,758,2,2595,402,4207,109,1507,2569,3165,2180,1335,2433,114,2874,1708,55,928,177,1456,110,1173,398,83,1222,2346,1301,1875,5533,757,1213,1301,1023,1496,75,552,1439,1455,1851,78,125,80,66,1452,1801,568,62,128,788
"MAFA",4,14,1,0,0,3,5,2,7,1,4,8,2,9,2,13,104,5,4,2,23,0,14,5,13,0,16,7,21,3,8,26,0,46,10,2,16,2,16,2,3,5,2,17,33,8,4,4,34,32,84,10,34,2,4,7,6,3,2,3,1,0,10,16,22,2,4,6
"MAGEB17",3,0,0,6,1,0,5,0,1,2,0,1,0,1,1,2,0,2,0,0,0,0,0,2,0,7,0,0,0,1,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,1,1,0,0,1,3,1,5,0,0,0,0,1,2,5,0
"MCIDAS",6,0,4,18,3,7,12,2,6,3,4,3,1,5,4,1,3,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,0,3,3,1,4,0,5,0,2,1,0,2,1,0,10,0,1,0,0,2,2,0,1,0,0,6,10,1,0,0,0,2,1,1,0
"MEDAG",23,8,139,8,239,27,62,1663,32,115,14,62,970,6,30,24,151,4,23,10,46,0,8,53,10,34,9,18,16,3,1,8,12,11,2,83,33,32,20,95,61,24,1010,9,12,33,22,27,25,20,29,21,37,509,26,10,17,14,62,93,54,53,11,45,53,47,131,14
"MEIOB",2,0,1,1,1,0,0,0,3,0,2,1,0,9,0,4,10,11,2,22,6,0,4,0,7,3,4,27,6,11,3,9,0,4,15,0,13,0,2,0,6,0,0,1,3,6,1,4,2,5,7,4,14,0,2,5,8,8,2,0,4,4,3,18,3,2,0,12
"MIR137HG",3,0,0,1,0,3,1,3,2,0,37,1,4,4,1,5,1,2,0,2,6,0,3,8,2,3,2,5,4,1,3,7,1,3,1,1,1,1,2,0,1,8,0,0,0,1,0,1,6,0,2,6,1,0,3,1,1,1,0,0,0,0,1,3,8,1,0,3
"MIR223",28,0,8,0,138,51,59,191,5,114,8,17,180,5,34,7,3,12,14,18,21,0,4,19,0,34,4,18,48,3,1,33,27,13,10,57,6,13,12,108,8,17,130,13,22,9,4,8,1,5,4,1,7,73,8,6,3,0,36,119,40,41,0,9,25,61,58,13
"MIR4454",1,0,1,1,18,8,3,16,1,9,1,0,3,2,2,0,0,2,2,0,0,0,0,0,2,17,1,1,1,0,1,0,0,2,0,5,0,5,1,5,1,2,2,3,2,3,0,2,0,0,2,0,0,2,0,2,1,6,4,12,2,7,1,0,0,6,24,1
"MIR5188",3,0,0,4,3,0,0,0,0,1,0,0,2,1,8,3,1,0,1,0,0,0,1,5,1,4,2,0,0,2,0,1,4,1,0,9,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,2,4,3,0
"MLK7-AS1",214,3,120,3,80,18,12,46,3,4,4,9,1,3,13,4,4,4,3,1,5,0,1,5,0,17,3,13,13,7,2,0,6,14,2,3,3,7,12,0,1,2,25,9,2,8,7,5,0,4,5,8,4,10,5,7,1,1,13,20,25,1,3,5,1,2,15,14
"MLN",0,0,33,0,69,0,1,14,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,6,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,5,1,0,0,0,1,2
"MMP9",1188,78,755,82,1983,734,3950,6023,848,868,116,173,16284,42,856,1913,315,692,1874,598,3873,8,436,2480,45,2866,264,903,4971,287,218,1060,1263,259,613,5108,365,2245,514,1515,155,3793,6535,1019,3184,727,110,2232,137,103,527,256,599,4255,708,377,275,288,2405,5348,2275,1207,77,496,1296,3275,6787,237
"MNX1-AS2",2,1,0,0,1,4,4,0,1,2,1,9,1,4,0,3,8,5,0,4,12,0,3,0,4,0,0,11,4,2,5,3,0,2,4,0,4,1,8,0,2,0,0,3,5,5,1,0,6,3,1,2,1,0,5,4,3,1,0,0,0,0,1,9,3,2,0,1
"MS4A3",7,3,12,0,2,13,4,9,1,16,0,2,37,0,1,1,3,0,6,0,0,0,0,8,0,5,0,2,1,1,0,0,4,1,0,5,1,0,1,11,1,3,7,1,1,0,0,0,3,0,0,1,1,6,3,6,2,0,4,38,13,1,0,3,11,13,9,1
"MT1JP",0,1,0,1,0,0,1,1,6,0,7,1,3,5,0,0,6,1,0,1,3,0,1,0,0,0,15,2,4,2,0,2,0,2,0,0,1,2,3,0,1,1,1,1,3,0,0,3,3,1,4,0,2,0,0,0,2,1,0,0,0,1,0,1,2,0,0,0
"MT1X",28,26,48,61,7,28,69,23,175,13,344,88,68,250,88,103,323,220,17,92,175,0,139,85,78,17,79,150,74,55,89,83,12,195,69,37,174,28,112,8,77,49,18,54,136,99,104,104,98,64,269,127,60,13,20,30,236,84,5,12,5,50,82,79,117,106,36,45
"MUC16",45,1,4,4,35,12,17,7,6,69,2,4,7,2,41,12,1,2,3,2,12,0,4,2,3,4,4,4,12,4,1,67,8,0,11,4,1,12,2,8,1,16,72,1,4,12,1,5,1,1,7,0,6,51,3,3,2,3,5,14,7,4,2,1,20,3,10,3
"MYEOV",584,122,503,2636,1483,1167,419,1277,113,2228,60,77,128,114,1687,52,397,62,174,167,110,1,92,473,134,268,71,187,56,71,47,74,652,109,40,807,47,150,43,1010,151,182,837,29,18,60,77,93,30,75,51,22,84,741,72,26,58,117,756,1122,220,14,145,51,258,177,368,57
"MYO1H",5,3,0,17,3,3,6,1,5,3,0,1,3,3,3,6,5,3,7,2,4,0,2,6,1,14,0,3,3,0,0,2,10,3,1,18,0,0,0,7,1,2,2,2,1,0,0,4,0,0,0,3,0,6,0,2,3,2,5,24,28,0,4,2,5,9,14,4
"MYOC",4,3,0,2,0,5,8,0,3,0,3,12,0,3,0,0,4,8,0,0,2,0,1,0,7,0,0,1,0,1,0,0,0,1,2,0,20,3,6,0,4,7,1,4,6,3,10,2,19,8,23,24,2,1,12,4,0,0,1,8,0,2,0,6,1,1,1,1
"NFKBIZ",5633,1997,1311,875,7052,2276,9422,7414,4547,10337,1346,3542,3340,3077,16694,4780,1379,1819,6445,2017,3477,3,2328,11656,2107,12959,5125,2147,6580,1238,7910,2252,10274,3095,1661,13847,3191,7118,2127,12716,1917,2672,7649,2173,2111,2578,878,2732,803,1518,1133,797,4114,5643,1464,1681,1664,1328,10148,13408,14096,1568,1545,1320,3341,7143,9443,2613
"NLRP9",5,0,0,5,0,2,12,1,7,0,2,4,1,4,24,6,1,1,24,5,4,0,1,4,1,25,2,2,0,1,2,1,8,2,0,7,4,9,0,1,1,1,0,2,4,0,0,0,0,1,3,2,0,5,1,1,2,0,22,4,74,0,3,2,2,7,4,1
"NNMT",622,75,548,141,2698,1036,3379,5919,622,3552,202,333,8175,86,447,456,917,227,384,376,803,0,492,1334,231,997,155,411,932,307,128,84,337,111,181,1673,526,556,358,3590,248,786,5619,243,599,279,133,351,270,194,296,216,249,4067,289,243,250,153,1092,3750,1839,266,106,324,501,1090,1855,232
"NPSR1-AS1",1,0,11,0,11,11,1,8,0,0,2,0,0,1,3,0,0,2,2,0,2,0,0,1,1,0,0,0,2,0,0,0,1,1,0,2,1,3,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20,0,1,0,0,0,0,0,0
"OLIG2",7,3,9,2,12,32,5,12,0,10,2,2,10,0,7,4,0,1,7,5,2,0,0,15,0,4,2,2,1,1,4,2,4,5,1,7,1,3,5,13,3,0,7,6,2,1,0,1,0,0,1,0,2,5,2,1,5,4,12,30,9,8,0,2,4,14,3,13
"OR7E12P",0,0,0,0,2,0,2,3,4,11,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,3,0,3,1,0,0,0,0,1,1,3,0,4,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,7,2,0,0,1,0,19,10,1,0,0,3,2,8,0
"OTX1",5,1,5,5,8,7,2,2,2,2,1,0,0,0,2,1,2,2,0,1,1,0,0,2,0,2,1,1,0,0,2,0,2,2,1,2,1,1,0,4,1,0,0,1,0,1,0,3,0,1,0,1,1,2,2,0,0,0,1,2,0,0,0,1,1,0,8,1
"P4HA3",2,12,41,1,197,25,9,710,11,55,8,19,461,4,19,12,17,13,20,13,17,0,6,24,3,16,6,12,7,5,11,22,7,13,6,17,19,12,10,96,13,8,155,10,9,10,13,24,8,12,11,10,4,141,7,2,11,13,61,24,16,15,15,12,14,18,41,10
"PDZK1",183,867,465,8,43,37,12,45,15,43,15,576,12,12,51,28,88,348,7,445,214,1,614,96,622,10,8,936,386,706,551,1160,54,1621,15,11,19,19,318,29,468,166,20,407,1197,290,1059,576,273,682,462,18,200,13,527,1433,623,432,23,314,7,8998,461,366,24,468,20,166
"PDZK1IP1",4611,1786,1167,1337,15385,4339,9657,2795,5208,13662,1445,1781,177,3856,44754,2911,2407,2442,7769,2283,3321,17,2570,12918,2259,9307,3608,2301,3748,1435,4874,3082,18283,2798,2227,24139,2010,7121,1535,21604,856,2978,11142,1816,3632,1892,664,3860,2328,1800,1924,1124,2008,4651,1413,1756,1713,3321,16181,13591,12134,345,1647,1483,1248,7192,14911,1461
"PFKFB3",1683,756,870,1025,7026,1731,4642,15371,1424,5565,623,1196,5337,1027,19731,1213,1260,1265,2780,993,1607,5,1541,3443,1603,6586,1950,1477,2609,1307,1004,1378,5171,1325,897,12423,976,1829,996,11992,701,1199,7892,929,1468,966,746,1545,417,935,931,745,989,5722,879,900,869,1088,4372,4287,4639,1434,477,1252,1295,2664,6895,889
"PLA1A",209,17,55,46,662,66,302,778,91,556,45,75,314,26,210,80,87,29,183,44,94,0,18,124,23,155,28,53,88,36,22,49,111,46,28,184,29,123,33,309,75,134,229,40,80,48,24,120,35,77,37,40,43,420,30,51,52,49,311,274,276,30,26,43,81,192,545,68
"PLA2G12B",30,348,158,21,17,39,9,23,210,34,70,356,27,173,26,37,51,224,7,185,102,1,324,57,133,9,238,167,348,368,620,462,30,311,202,35,149,62,256,15,149,44,8,91,313,126,283,403,46,131,107,202,329,19,36,237,126,359,3,158,3,3365,516,268,111,145,15,303
"PLA2G2A",52604,11341,21646,58158,57333,22894,62619,45581,52363,28534,4328,36415,1463,29585,62151,91495,27839,5523,38065,1301,30100,22,7041,34477,4049,30305,31671,10994,8692,3139,39666,11643,64563,9409,3818,32957,11645,57143,8777,16055,5357,53909,56015,4614,8512,6102,10539,8843,24180,3156,5597,3711,22215,7236,7187,8192,13570,8455,31911,20106,30618,18700,18357,13419,7979,79211,83948,33983
"PLA2G4E",62,3,4,0,42,3,46,35,9,170,4,5,1,1,190,11,6,16,19,18,9,0,17,37,5,146,3,9,9,9,13,7,132,15,4,114,4,45,10,135,7,11,31,1,13,9,3,15,5,8,8,4,7,27,9,10,7,16,86,29,49,1,6,5,12,27,60,9
"PLEKHN1",38,4,11,11,128,48,69,144,19,180,3,21,76,5,187,11,38,10,26,5,19,1,8,39,14,24,3,24,6,7,9,9,21,3,10,114,14,31,24,112,7,25,81,12,20,15,7,16,10,7,10,2,12,90,13,9,6,9,62,109,40,7,3,14,13,49,69,7
"PPP1R17",0,0,0,0,11,0,2,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,5,0,0,0,0,0,0,1,0
"PPP4R4",2,3,2,7,35,11,17,13,7,12,10,1,27,4,125,5,8,8,57,6,35,0,2,9,1,193,14,11,42,1,5,13,5,5,5,94,2,12,5,24,12,8,29,7,13,6,1,9,0,4,9,2,5,71,13,6,2,19,68,43,103,3,1,25,10,36,49,4
"PRKG2",146,980,59,304,28,72,124,33,351,44,139,111,43,261,33,158,181,473,53,1447,147,0,1276,161,390,36,160,988,981,2930,330,958,191,1359,475,67,214,86,610,39,922,78,46,296,173,382,504,981,57,613,529,493,406,33,258,490,343,365,72,175,100,3176,486,494,160,177,35,385
"PRSS22",272,105,26,747,422,265,1014,328,260,546,74,232,3,546,1163,247,454,41,237,43,145,0,28,489,278,339,210,139,275,36,116,300,777,178,221,1036,178,282,38,964,80,133,379,110,91,46,19,63,55,64,79,25,62,263,52,70,48,106,441,558,522,12,70,74,215,378,661,110
"PRSS27",21,0,4,13,20,9,55,5,17,21,9,2,12,24,51,21,4,5,29,12,8,0,7,12,19,23,7,12,16,6,2,6,67,8,7,44,4,34,1,26,1,15,8,3,6,3,3,11,2,6,2,3,7,9,4,5,3,2,31,15,91,5,4,3,15,22,40,2
"PRSS33",25,1,9,5,46,63,3,14,2,38,1,3,13,4,6,2,4,1,18,11,4,0,1,7,0,2,1,7,9,13,6,5,10,7,4,15,3,3,5,11,7,3,14,7,5,2,0,11,2,0,1,0,11,10,2,0,4,0,19,42,22,6,3,0,10,13,5,23
"PTGS2",183,31,1043,20,4379,270,593,23697,125,1235,58,192,390,120,521,327,202,69,181,46,84,4,266,991,38,641,50,93,123,163,37,28,506,85,59,490,76,83,93,2113,217,176,3796,92,93,224,137,82,28,59,68,51,243,3065,73,150,57,41,497,1925,550,131,36,240,267,216,445,371
"RALYL",1,3,0,1,1,1,7,0,6,2,4,2,1,1,6,3,2,5,0,2,0,1,3,1,5,1,6,8,8,0,1,5,0,8,11,0,7,0,6,2,3,1,0,2,4,6,3,8,4,5,57,3,12,1,5,5,1,3,3,4,0,49,3,10,3,0,0,5
"RBPMS-AS1",4,4,8,0,23,34,28,13,9,22,3,4,7,14,62,20,8,9,19,4,15,0,1,21,5,36,18,9,13,1,1,12,35,3,3,28,6,17,1,40,1,3,16,5,12,6,0,3,2,3,4,1,4,16,2,2,5,2,41,51,40,18,4,5,14,11,24,8
"REG4",18189,6470,44905,63560,77673,18307,4807,53577,16125,23589,1755,14359,160,5925,70040,12449,27620,1714,10239,364,3269,39,1673,10697,1174,21951,9422,2868,3597,903,2072,2047,4871,976,2054,24654,7618,2394,630,35183,3668,5202,60579,492,1686,1401,3821,1536,2667,2220,2219,1672,6923,18474,2538,1299,2861,2482,25247,14798,7168,35184,2204,4733,8805,17702,31805,5058
"RETN",0,0,2,0,22,2,19,13,1,14,0,0,4,0,4,0,0,0,4,5,3,1,0,1,2,8,1,0,0,0,1,0,5,0,0,5,0,3,0,15,0,1,11,0,6,0,0,0,0,0,1,0,9,17,0,0,1,3,1,5,4,0,0,24,2,1,4,1
"RFX8",0,2,3,0,7,2,7,25,1,8,2,0,50,0,3,0,0,2,3,3,1,0,0,1,0,5,1,1,5,5,3,4,0,0,2,4,2,3,1,11,0,0,22,3,2,4,0,0,0,1,0,0,1,5,1,2,1,0,2,17,1,1,0,1,1,5,13,0
"RGS16",117,19,117,27,705,113,383,1044,88,433,37,72,787,13,125,72,115,55,57,51,94,0,55,174,17,100,28,118,184,36,28,116,33,68,71,130,69,66,50,295,41,120,950,58,215,63,46,100,41,43,37,35,69,731,51,56,47,42,207,599,298,90,34,95,118,141,107,65
"RIMS4",7,88,9,30,4,2,18,3,81,3,197,178,17,169,0,99,60,168,4,336,235,0,419,10,259,2,90,636,74,111,44,376,3,432,526,8,418,28,268,0,350,33,2,401,370,534,117,212,199,253,328,337,155,5,193,321,525,179,6,17,4,8,240,449,353,10,8,108
"RNASE2",8,0,6,2,62,170,41,72,7,41,1,12,156,0,12,12,5,10,29,2,6,4,4,13,5,11,2,26,9,10,0,10,5,8,1,8,2,6,2,24,13,9,119,0,6,7,2,24,1,0,2,6,23,53,4,5,3,6,15,13,33,2,3,9,8,39,14,9
"RNASE3",0,0,0,2,3,37,4,4,0,6,0,2,3,1,1,0,0,1,6,4,0,0,1,5,0,1,0,2,0,2,0,2,0,0,0,0,0,2,2,0,1,2,18,0,1,3,2,3,1,0,2,1,3,3,1,0,0,0,0,0,1,4,2,0,0,6,4,2
"RNF183",68,10,23,23,248,125,226,35,44,151,21,29,8,27,969,38,26,18,102,22,52,0,26,87,13,203,28,49,21,13,45,20,96,9,16,278,33,99,20,206,14,41,154,18,41,18,7,36,19,19,21,14,22,102,13,16,18,26,108,232,258,5,13,20,31,72,297,21
"RNU6-1161P",1,1,2,19,12,4,9,2,2,6,1,1,0,0,9,1,2,0,1,0,0,0,0,0,1,5,0,2,0,2,0,0,1,0,0,8,0,0,0,4,0,0,6,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,4,6,4,1,0,0,4,2,6,0
"RNY4P19",0,1,1,3,2,0,4,0,0,2,0,2,0,0,3,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,5,0,1,6,1,2,0,2,2,1,4,0,1,2,2,2,0,0,0,0,3,1,0,0,1,2,3,0,9,0,0,0,0,1,5,0
"ROPN1L",8,3,5,0,13,8,8,30,1,11,1,1,21,0,24,1,1,4,2,5,3,0,1,2,0,10,0,2,2,2,3,3,0,2,0,10,3,1,1,20,0,7,36,1,2,1,2,0,3,3,3,0,1,14,3,3,0,6,5,18,8,0,1,6,2,11,7,2
"RP1-161P9.5",2,5,0,7,3,4,0,3,5,2,4,9,0,10,1,4,28,4,1,6,1,0,10,4,15,1,8,17,11,0,7,11,1,15,5,0,9,2,16,0,4,5,0,8,11,12,13,6,3,13,5,5,13,2,6,8,6,2,2,2,0,6,5,1,20,7,1,5
"RP1-212P9.2",4,0,5,2,28,2,1,4,0,8,1,1,0,1,6,13,1,0,14,0,3,0,2,7,1,3,0,13,6,1,0,0,1,3,2,11,3,9,1,5,2,0,12,1,2,2,2,3,1,1,0,0,0,13,2,0,1,3,23,14,18,0,1,0,1,13,5,1
"RP1-229K20.5",0,0,0,0,2,0,6,24,0,4,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,4,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,7,1,0,0,0,0,3,8,0
