"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"histidine_HILp_QI2162",244397,199422,732669,194843,463162,824204,231398,72082,221461,757780,69096,7108404,291555,6313880,143533,125494,630676,261198,61204,354282,328461,2742756,1774737,425771,65385,54500,23464188,634940,221186,166761,66596,504152,2459715,131367,258470,141208,3556647,161462,342737,59649,104892,66872,103811,134799,109053,1370241,2076677
"N-methylproline_HILp_QI1038",129749,2525478,1643488,5499478,88656648,421790,3262798,340993,316712,437424,3102081,129855,1343164,63769,2352787,2590858,32259398,3436415,21169347,16765886,3960282,1116648,57816,4300452,458896,376280,97847,35681122,2924597,5687036,680715,2181739,1129718,3272183,3394375,5667675,27242,30349263,11359582,208963,19883644,354444,20865616,7263360,1482059,2137302,94491
"_HILp_QI19376",6576,270163,156641,191507,1762764,13855,149949,206210,654963,8686,2136,16112,1815,297,1282,145,30568,459283,6938,2975,10413,10279,39896,1309069,29106,5050,53359,356603,23448,18251,131,20445,660,4200,21382,2081,32997,328960,43322,19283,8737,17068,5943,63791,3109,36068,2995
"_HILp_QI12696",8134128,18332201,919586,1281239,1566038,9140,3317192,861269,306156,446131,658951,351840,53229,41734,149968,97978,157671,13090952,347183,604587,906895,14993,534304,682438,125836,406737,82893,977363,419794,35105,328913,300243,35741,587297,423566,820759,66378,457438,132560,381426,245489,155597,113735,742603,368479,463179,387772
"_HILp_QI1881",13,945,4932,6687,871,4605,1051,493902,1437,1578,9512,488,172180,391,1073,207476,832,89,39820,1617068,2253,230,1683,669,337,588,561,466,2078,741,5603,918,1571,1507,3185,239075,511,6760,1669,1779,494,1574,9,1054,6241,1168,620
"_HILp_QI1359",12975819,176790,35647719,343712,4961054,108721,169860,197811,112879,125439,58678,45999,26382,103297,23920,187382,269048,116274,93248,81619,5415,26775,36931,96902,356923,35363,60779,57107,39305,110737,393345,231523,139229,143472,38785,177785,70355,118450,268612,43427,108323,99237,17006,173751,20732,17882,87710
"_HILp_QI14035",126050,8298220,1627096,1343503,2321244,9452,1181495,994698,3566631,543201,426488,1159592,335176,162848,264855,317956,704805,3513513,967275,1476018,1979665,97018,1195724,1489698,164319,1005242,417241,15877295,787659,348022,1166595,780144,225128,1586476,846523,459269,585368,3983888,470943,937935,140641,188169,972788,70542,251186,1156635,360232
"_HILp_QI9896",1034,115034,89472,66844,11974,368360,53289,29972,322197,346719,568409,355625,115219,1603617,207500,889846,141603,20220,72514,111436,131403,13875080,158435,53812,131048,77940,77205061,108110,228552,98324,310518,33681,588269,67955,204155,225759,12263550,185015,241898,87626,19256,41668,91713,487729,133763,109619,866782
"_HILp_QI12695",493195,30776987,302900,176749,82042,8256,1005946,660777,134241,13486,2665,88759,21866,167359,52240,26681,38522,7381065,100352,384057,213591,3176,37297,663782,10593,170080,38588,301157,92716,2119,51104,64962,63369,403809,89942,146957,8105,70759,7043,107354,237164,420779,4615,15036,793014,171786,5025
"_HILp_QI6433",57068,1410771,937296,747023,1162273,26777,1623862,297702,2182724,94002,2284,6336,27747,62364,52212,59001,7542,2898682,78648,25432,41868,21878,74982,1908684,79572,26805,89112,2249394,46313,129020,20748,11376,92338,76727,76933,44809,92714,848564,17290,49897,89487,24122,1670,134643,94205,31086,135471
"_HILp_QI12296",8004272,41285518,828104,1850162,2585712,31236,5733391,1985059,4731054,588,1672,36598,17964,1194,8876,8026,47003,40597851,4459,28692,67313,309064,32794,736182,8275,9776,33276,3679218,15904,1726,15281,23749,136,23939,7205,9145,61836,2235162,13244,8857,3330,1635,61,971,13997,35616,7533
"_HILp_QI5813",5268,699146,392231,372967,892633,14899,1661471,513468,2385724,137061,103018,92925,343953,92259,159862,135972,56795,3393834,61638,154935,65611,63644,43163,684462,44045,108836,58107,14688334,67234,68200,109299,70075,332478,182600,118233,117052,114408,1907958,113262,123176,231428,62813,17737,360310,177385,119980,79058
"_HILp_QI5047",75487,1004323,595460,559130,368252,233582,2824164,822193,1131241,129474,24685,25398,49479,78119,93030,64084,33213,877080,35853,98383,72547,30928,17745,640697,60152,56645,47872,1807251,60780,65422,73780,58219,222772,114285,103283,211217,43669,1033284,87217,108249,121965,67139,22904,201219,130404,26679,133925
"_HILp_QI4454",29902,368033,107953,273086,10957,24446,509342,79827,174120,55936,599,5790,8230,33406,36960,16447,9018,147823,8653,19999,19013,7447,23602,150095,13687,12563,30625,150714,7740,16825,6726,13569,58618,34377,33194,23238,36863,157213,11251,18216,23660,12605,8494,65043,33571,9395,25212
"_HILp_QI4452",249519,2858897,335028,760911,123268,69416,2233383,427356,595016,70391,47411,21979,35651,75779,40894,62967,24742,2143087,38676,60036,36984,12719,67588,1204413,25751,28156,34109,2832649,34368,29881,44858,31207,68505,61176,46825,49221,25628,144109,47991,44513,59080,30286,48351,89998,50361,27624,85642
"_HILp_QI1266",114296,352,61600,321,64422,7993,2405,1163,3555,4381,2844,8242,168,537,1089,3176,3426,1117,10,5,6222,14362,20991,2768,5885,1272,2374,4630,2529,4555,710,3582,462,587,2349,1034,1350,2438,5389,5189,1412,4939,950,2724,844,4988,15636
"_HILp_QI6147",67475,63816,31958,50213,137181,662669,182188,43197,76048,443510,86778,1119307,1805688,13561118,272654,347329,997153,79901,668982,1055860,172525,1341510,82619,273967,48851,158842,956107,60042,149642,612561,242895,196227,348328,269984,151513,246896,179951,84292,116162,122240,314640,69751,181939,129753,390344,1315035,461238
"_HILp_QI3060",2680514,4715644,2625816,4493425,3814332,205906,8650817,1181017,5523326,33345,233850,32929,15976,51723,92975,10538,7226,10927692,22460,73336,10385,696,81537,3992747,5839,62230,5453,14717999,236838,27385,18498,16225,157354,90966,87699,50243,165059,2992115,51618,104327,57199,22415,18559,154731,96934,4169,65814
"_HILp_QI3816",32807246,58082187,33698915,64580831,56384259,71931,121164586,14703395,74897170,172696,190128,69759,115019,672139,226746,139756,110467,164470951,93385,405010,121832,75646,49243,55229895,91255,170512,178228,205901926,320616,121996,154806,152660,569814,238793,179084,332127,89016,39355564,151290,85820,447412,73654,128084,300153,295516,137221,241425
"_HILp_QI10934",378982,769554,919432,2529179,44271,4100,4546887,686247,1445453,44543,16891,2922,42365,193141,32187,82972,8000,612066,53106,2501,10708,74335,834920,723687,3151,18425,230998,639047,31155,6725,38809,18966,69582,35607,39464,51782,83437,1039534,5778,6394,6572,9840,15195,31358,4804,126436,168474
"_HILp_QI9957",32477,114587,306381,100192,193149,92459,408165,109569,193441,396389,323095,192059,80373,220459,103571,68858,197852,133568,66211,159684,144104,9517848,26157,216309,193418,51895,89183144,146494,85560,132299,79307,106852,402495,269011,216043,193544,7500876,78675,511051,206899,320896,170117,122638,617514,232266,124090,495259
"_HILp_QI9847",6828,7094,119170,24618,9234,9643,84415,21907,7198,57880,31753,116136,73753,174716,61055,77406,42871,65638,51197,278259,88478,1033756,11571,52834,37809,33437,5256638,17864,49621,63877,25432,51081,90797,155686,101705,29668,603333,4641,105245,52845,220298,54488,22146,97306,83046,44286,52723
"_HILp_QI7051",721142,12214982,672150,1259137,2129192,34244,2851808,105687,859097,332326,123059,84662,46412,134461,16587,17006,89577,1535370,55977,295534,8302,47443,11298,435792,17999,9762,2687223,5401163,32854,226642,6202,45364,170990,302567,49264,102555,131698,6387333,86078,119658,334844,91472,7380,107730,83699,30383,56978
"_HILp_QI7959",1136971,15857332,901474,1443892,3197636,25846,3585234,136818,1148853,68498,37252,81803,76199,124507,22866,59195,60099,2102853,57014,99861,52371,1127,37705,343314,39510,36687,6123,7785735,95226,88052,11317,91643,119441,129419,99878,72462,90471,8569135,173125,24621,207435,16237,15102,97648,159508,62542,29090
"_HILp_QI1023",1514480,823672,124717,107076,855238,86229,106066,205057,101006,14381,40308,15529,57360,73990,28503,16593,18290,3638034,19498,32468,80739,27982,11833,128329,20994,78184,38813,1088297,32175,36132,68372,28569,38435,19866,99396,26251,48206,201304,21985,70468,34983,22254,13928,34126,64624,46547,69140
"_HILp_QI1939",12606,9666,4381,8289,4163,58038,31286,170080,21512,23227,842251,2204,278225,1671370,8753826,3723412,18164,465,7439004,9519,143191,12704,28455,23857,42849,102166,115920,940,2400879,24773,3634210,40964,114143,502601,57115,3846827,64049,223945,16393,26500,11484,20694,411292,29791,133783,24859,72706
"_HILp_QI10912",1204572,2011257,798411,198860,1861352,41602,211068,303837,1739174,178066,36055,34638,33607,65001,193499,250967,260313,3532190,121333,254030,162244,99643,36238,1687674,157167,17107,10071,2519058,102027,209880,120910,449581,304724,290168,193784,41398,15327,1615002,282756,211598,466104,517724,538357,122271,263253,117091,66446
"_HILp_QI4565",8244890,23980052,10259740,33176674,2940760,209594,96495301,10265544,34639304,1078500,568922,361145,682084,1220122,685918,743219,715796,71918706,658641,902783,761162,268946,354285,12713362,589666,529227,1303063,44000629,1128922,571495,647501,1017900,1115435,1534253,1114709,875620,692783,15294511,1350543,997716,1554773,728772,1094470,1847643,595293,487224,684202
"_HILp_QI2124",25459,19967,49522,13064,19740,2435,2191,622,14384,449,709,1468,281,476,161,134,1229,26152,375,255,1402,188,718,4652,3037,874,1557,19911,428,1029,191,1025,948,329,1109,415,699,13502,2737,1069,1648,996,606,1281,374,271,2798
"_HILp_QI8791",330628,11996049,272767,3176464,474168,36595,2513,34701,1271007,440144,27555,602828,1275481,563,76981,391622,2324238,4358441,679028,1335467,137978,248182,225,818889,225547,727221,605,8529699,519213,841759,1096681,1193920,1466880,486140,644492,43344,76921,3469552,1796525,240259,1613173,621189,1987311,57582,66364,1438002,84344
"_HILp_QI7530",1071632,3217538,1477850,573823,5409363,10028,532863,601638,3713051,124414,54293,40978,47567,11235,77704,29726,64612,992667,62211,76713,29924,14988,3219,425853,56023,38399,11473,5407874,24163,52257,12104,28060,121173,218049,114291,90066,45501,235016,156365,153046,199715,190675,51747,195165,138741,29671,5339
"_HILp_QI7747",91313,992232,278772,85012,804385,12467,2642197,142695,807272,37106,30907,168410,30275,26618,16120,173618,30784,770312,33373,68227,20235,4826,40729,95745,24552,17556,29262,516461,89317,22741,29920,69041,117789,76423,110517,49148,142212,2229491,69746,26006,203199,27680,26183,51476,118280,22243,62433
"_HILp_QI8129",22635,1384507,290532,133801,130494,11209,125051,72309,338183,104034,44861,4935,54643,61739,41312,117485,43848,497877,72493,39264,67290,12680,149700,64051,47187,39477,34268,1878128,31025,54611,33876,34885,38193,60531,56374,44573,30773,74887,122108,101868,138651,60037,37209,92200,238717,37848,45207
"_HILp_QI6334",131938,742170,550038,291245,792491,3609,217003,99976,71213,77466,9399,8492,53402,69312,39441,33456,29615,106298,40593,40174,46650,2420,636,459638,40545,28315,9404,637551,11300,24683,12856,31919,81083,54763,55019,48760,36191,143506,80367,53156,70332,40532,16665,108206,115893,11833,12274
"_HILp_QI12643",1095439,494869,4624844,1113766,12184024,850260,73323,74954,4452255,529393,4985863,102247067,3882888,100364874,431392,359296,1539613,74211,550860,3391884,947739,259543,4667325,282246,499960,520776,66123358,2565796,1416236,10143697,1335466,5155456,45820,1587586,3202946,491185,519266,167495,2518209,1052595,637,443950,1124103,498551,6198462,279934,4362173
"_HILp_QI8128",49663,338128,159944,59421,103845,3519,74491,62110,265423,37549,14199,13985,46936,48600,36460,62178,23260,278186,24860,70473,84571,10688,73786,52706,36970,23674,58796,2210535,12668,30912,16148,28472,26611,56720,37057,21722,29022,38683,45443,35646,22845,35398,14892,78266,122176,21869,42310
"_HILp_QI13064",130421,252506,1890736,427048,3855223,392090,19867,85379,1000707,305474,2906114,24553686,1236939,20095465,119270,178201,990991,5479,161234,1575049,412985,57822,970043,77596,165504,105263,13118442,362181,603648,4955523,531077,2493678,2075,841977,1160713,259526,221274,14536,1417471,474281,829,270883,419065,124991,2459770,106718,965111
"_HILp_QI5105",282672,835552,80813,39775,273071,2568,72299,59232,215496,46982,15699,70879,6403,1277,37150,40137,22395,1601271,18470,14398,23709,2908,29374,63519,12944,9561,6427,1208783,8298,32229,2063,17304,42606,44043,29491,17942,20584,148333,21503,20399,46243,22559,22424,53976,19735,16580,3289
"_HILp_QI8596",3929,361258,58708,13497,118682,754,149541,26308,74779,10294,5326,36801,1429,7760,2450,10106,17245,428245,13943,25551,19458,2509,577,75400,13771,2146,27450,455223,1221,10808,1980,22520,35783,11647,24803,7691,65939,112360,25306,7380,65599,8712,4590,28989,5360,1201,33218
"_HILp_QI9807",814,159423,176137,9722862,74504,160103,354261,35659,38551,93209,9097,71868,156043,337629,22952751,6615243,265695,97317,206309,101411449,168964,26858,21915498,151763,237620,10359,2303332,249725,100912,166416,69283,182028,79880,462893,153882,38945,43458,76716,282979,63098,203322,11781,11980,151328,15587210,56497,26143
"_HILp_QI7884",45873,49549,129097,1859920,68548,11557,243872,270263,160004,68924,295339,603570,360885,313569,16284938,1487344,252591,30967,125929,1948977,100657,34072,7786667,78801,59065,72205,1178099,172119,99544,98498,107240,73866,232479,730867,150900,162439,158670,7195,272057,115812,228392,107457,103922,395902,1296517,105133,56743
"_HILp_QI8307",1061243,1793662,526345,293509,2081569,3152,481665,267209,1996830,59122,24728,72812,23850,105991,66003,209974,64311,2795459,95441,72474,69510,832,35236,497575,20542,76917,74034,3237252,90123,50965,34015,80898,292121,71985,155052,50917,90447,2211925,207072,21451,246144,43805,181003,179986,64850,53844,31067
"_HILp_QI10411",7857,34452,145659,524903,45644,280962,151215,25556,6780,124827,125085,55060,90900,5437903,3479916,6677425,22886,14281,20804,10975214,28210,4216038,44446508,8207,16682,4251,18477533,21316,3677,8603,4776,25925,407627,602705,110909,85272,800623,33824,267713,12437,73973,22664,57568,224110,9256374,11830,211095
"_HILp_QI6615",411519,32400,63099,21639,6127,34999,16220,29809,89347,6235,65811,49845,90946,660557,39258,39230,22438,18737,13864,32998,55729,24269,38330,11438,18003,51594,104095,18760,69290,35877,24786,18741,5107,59654,63437,160605,139714,74156,29633,31739,22373,25014,37106,29572,42873,29348,31005
"_HILp_QI6336",8701,1330333,149967,254468,164718,2914,137595,44647,74580,80910,7605,30095,27159,17520,18682,167128,44819,107996,43203,58835,53771,677,651,378487,63160,12204,157703,749488,81822,17067,45338,58993,145611,49995,62470,73605,11368,170543,117987,32418,139700,24132,46065,95188,51420,36382,2175
"_HILp_QI7169",21927,2458358,201217,435063,84655,13366,316040,77703,80650,146837,33895,35037,62292,57178,34598,58452,73319,240003,52577,105256,80034,1608,7014,687317,76599,34189,41877,1493818,117132,56000,79168,68157,513322,110021,129586,77329,33212,310779,251423,59139,324882,45116,72885,149257,118628,50009,29187
"_HILp_QI5284",122925,4360313,259025,456628,139451,21655,133237891,3070817,465747,78457,167808,96139,55099,49589,55790,94806,109401,1520797,68666,93553,181073,2947,14077,2588132,146676,37252,50331,1168156,131888,88465,72108,81584,341265,87238,99579,87606,54998,505286,168096,84752,244837,97736,83117,152652,164092,61918,38927
"_HILp_QI8853",95815,235922,78385,155048,176929,2091,147536,116243,131128,11348,14842,10708,45534,55106,13374,38932,11301,822710,21305,33887,31365,7291,50215,195346,24727,11162,1918,567668,46482,25629,11851,45550,39659,18857,32281,13076,26053,116413,36150,21325,117201,18069,27933,30076,68412,19033,1559
"_HILp_QI9881",39221,13609,33010,1277799,131812,69986,245989,103324,159580,66246,73032,63199,1226584,752970,14833844,7917999,5987,69476,1227,63699921,467604,15546,42385445,12216,39871,2136,6528595,49175,76607,1105,603,12630,214007,9276656,46216,6903,52045,222291,109920,9334,35864,68805,30549,51916,15938947,24386,259874
"_HILp_QI11678",847,3479,92714,19183,32269,13051,37229,85408,80133,896873,42167,885898,176040,497042,176683,317546,158912,699,163671,444408,104635,222936,86853,145869,90994,41797,140933,9709,139125,261181,138093,131178,136100,365472,10355,15152,3328,16422,18161,48322,18253,54309,68937,57452,73500,254415,16446
"_HILp_QI9572",58137,54173,56769,108093,13166,45169,15631,117578,36665,21405,166514,2080874,18588,882033,372890,70887,14480,90113,42998,43180,102939,2249565,59505,29291,55645,171581,322933,42153,127045,3433453,294086,341232,16490,135139,298836,209689,232748,130641,54128,164960,78599,70793,180658,168529,176243,79518,265513
"_HILp_QI7333",1453,1349,9291,1253,2651,88,3846,1577,1375,1943,508,2245,32436,969,4556,10434,1221,4143,107154,7043,19969,1768,1498,631,6446,1411,587,2909,1049,1639,66,4629,53921,2348,6838,37767,21018,57,31699,659,7462,665,3330,22322,1652,6335,513
"_HILp_QI5466",796755,50090,44845,264623,46875,82878,142954,50189,79568,52887,3817495,232967,1042820,7466,2501455,52364,190205,312058,85371,685367,70325,3363387,102894,37872,151226,123207,28992,82577,161680,836192,294434,73371,74739,48885,99031,152937,20690,22934,496506,43556,50981,18219,74820,35956,310615,2206112,228745
"_HILp_QI5904",23013,123886,99247,129329,27649,3782,1232781,73914,128616,74771,17645,25156,34876,5976,12088,70437,50137,479669,49213,63966,67380,6509,483,95024,90248,27218,28751,263362,53989,45252,42477,27782,81651,98747,75683,69782,10594,83563,122061,50398,171619,58863,51178,98113,49861,32090,8443
"_HILp_QI9882",1126,10486,19135,5957325,26472,92817,10788,9767,20320,21970,58166,633,543385,523139,3964543,1707847,1048,96043,384,6872563,50919,417,19477676,9869,27557,156,4742424,69681,2420,1891,131,1886,38646,1137689,17545,2246,3285,11102,67692,2602,17641,93634,1339,43491,1772768,877,74717
"_HILp_QI8305",1319633,741102,571020,404813,396101,5515,986103,252755,715749,64529,8023,26507,12317,12244,18098,51278,40132,2223209,52907,35762,28867,2289,32200,978923,23500,39107,15417,1675886,34496,15107,14272,26424,89493,64710,100051,43745,21429,1092887,144782,24259,238740,30229,46263,164395,94981,22083,29903
"_HILp_QI6492",969,227014,82781,85787,834,48476,2714241,81759,56132,91001,7107,66848,9331,71930,10553,244997,325861,40047,36157,255563,573352,18869,164852,406096,649222,446860,49638,38855,678227,45647,45730,274107,29355,207995,77064,115722,90754,11373,356464,80638,234587,60201,225036,163138,29504,137159,10511
"_HILp_QI11033",96179,746278,46518,342793,69651,113146,426161,365466,90485,47862,401589,8558272,431552,6236772,3250660,225664,208516,1030026,97860,69216,201057,13845488,65591,213178,258309,2491335,592927,74406,249375,15530811,1228923,726106,12894,285335,774031,556898,1485933,348385,118787,1448390,178066,145955,435125,298690,338203,379017,607493
"_HILp_QI12582",1350594,124838,3469859,433945,24645305,1396062,103075,103255,4474683,180707,504175,69727462,1854389,51991501,652875,90125,329727,197337,192896,1433339,394646,110018,5062328,166106,481139,253528,129920014,389597,679383,19179196,612123,3705903,97099,381223,1179004,389119,1824901,258436,451190,789779,2325,112347,1130699,924258,5641551,124020,2353967
"_HILp_QI13027",828624,111609,2071043,245388,14597374,781449,69450,90908,2649016,144914,427649,37084633,1323335,29628264,370558,61160,390258,325872,208759,845645,285527,279148,3290999,429478,315116,171598,70133515,662747,592434,10906121,398673,2187527,40273,499950,699107,244518,1084476,227126,374253,463907,7339,154464,696184,560765,3423318,221053,1678764
"_HILp_QI13429",1004839,80520,2557050,330567,19620579,1002078,67133,82629,3341115,126017,352364,46867765,1390726,37355552,482427,80078,239466,147585,128754,992675,305828,89511,3943875,146818,371813,182031,85165919,2344161,498439,13732973,455276,2818874,67909,287203,889973,287444,1253266,187382,351369,577578,919,81363,821047,672740,4238018,84847,1741723
"_HILp_QI12521",198954,3344871,108333,1496643,167687,155649,1892872,1140039,339719,171489,1117336,15909429,2153407,19573331,11869660,1142393,1089415,6636720,392810,378196,487445,35449868,127471,1379339,1200138,9830972,1059155,238534,535591,30167079,3018145,2604000,49894,790630,2012857,1545116,8805370,769284,422294,7147084,855427,350469,2339910,585836,674242,1920996,1235799
"_HILp_QI3116",42688,83724,47941,32125,141248,369,188631,156194,129320,2849,2520,1479,3532,547,2697,3743,2920,227335,3602,10118,3957,201,3799,464938,1887,242,2982,643905,2349,1034,3144,7490,6560,5835,4061,8341,1082,133879,11471,4523,11220,3814,3846,10883,15827,4091,3675
"_HILp_QI7327",44134,1637407,248332,10625315,1466816,1203,85359,85800,3804665,73865,52465,6202,42079,1168,38706,157591,50888,100328,101154,64349,58664,2163,43420,144983,10762,1349,3215,108995,120785,52377,132212,74601,69572,42717,123893,18447,24337,35382,261529,13878,86734,6760,105405,139419,4239,145203,11626
"_HILp_QI1672",62003,11596,59232,3040,9360,5832,32654,4803,74262,18499,52998,261790,54517,1571890,36193,45051,20722,25279,28934,32249,38616,10558,964094,18158,7118,8526,525401,37217,33264,25677,23108,27658,10367,15805,39133,13710,489540,95811,81025,13317,34211,6135,35143,27606,24078,98394,356650
"_HILp_QI8070",2198616,366080,2678719,117121,276884,92,580925,563523,1431927,79798,28516,22450,67758,45059,10032,71707,70084,5530425,68020,88902,126713,18816,48818,160733,67477,19254,81573,4591151,82518,56540,68267,100634,93440,99172,95301,50405,92012,3222605,154993,63828,378729,60902,47144,151893,144780,58211,43038
"_HILp_QI4291",12825,11954,78610,6053,17953,4061,48961,10828,16966,4388,13327,3196787,13574,16232,2842,5724,4727,25937,9276,9987,18718,270,17375,932,3695,17246,22446,2899,11169120,15086,2530442,16705,115519,5381,98284,24639,23273,744,46393,6149,25603,1818,48469,12487,24612,2727,60231
"_HILp_QI9643",389711,58372,47436,6045,58698,17627,209809,17216,509880,13383,74731,468919,205315,5529624,55077,121276,54403,229327,341397,88748,62859,34235,2179081,79939,28653,60646,2100470,288995,180785,66652,87718,86334,5941,15983,164160,39686,1364851,58463,77107,33737,118072,18588,68623,61403,77826,671756,475536
"_HILp_QI11068",292960,228705,1126787,1015827,296882,9455930,447272,618896,1187108,649348,383314,42990,182758,215314,147442,24747,1005771,73243,196090,130938,735192,66529,871282,431797,283598,63555,412677,238351,294986,138927,141071,211511,428687,211471,127715,483445,128919,431978,170752,146997,49549,516223,560777,818250,229258,106885,1749266
"_HILp_QI3321",498644,20326,123438,21353,164045,14567,116752,117758,197611,66344,1572636,82304,361218,745755,52714,284483,679226,21169,196227,61507,191680,267901,160461,62214,65229,89489,599817,30025,75809,58983,17253,30859,6437,110358,144829,36507,255815,107415,37996,46831,46344,20135,14086,166899,150022,43346,93642
"_HILp_QI7012",2989006,2973461,574597,116704,5152117,855,416686,346526,772418,43521,2094,28237,16607,52179,34915,1667,65241,29487731,31596,29493,6672,468,19895,1136851,824,9856,1168,23852704,24748,10650,3700,6126,53946,39987,9227,30803,5078,1257607,62009,15013,110103,11704,5120,81383,75217,3117,3416
"_HILp_QI7899",1001766,201641,66476,373987,121395,11615615,147395,40677,104077,108425,65528,3712,45693,13423,20843,2486551,537256,2127789,299530,10949,275709,9760,95411,158269,80822,14264,68794,285832,49866,39109,48834,146016,104196,46960,14107,51866,774487,541348,102207,149679,31984,112075,33555,77134,22837,14536,242272
"_HILp_QI12718",183154,69226,8727,35413,8610,74954,30463,119994,271010,111618,66891,389014,15432,316738,274770,415533,86083,63021,375559,32408,2853,685446,20998,158915,207241,282662,93925,10017,40552,431018,46305,27455,4989,47619,1999312,95187,98207,65155,72413,110147,203013,25516,79075,9748,117732,38672,97556
"_HILp_QI8399",34638,143581,42183,1659703,52660,89211,14529,63642,5570,105085,3199,526,34838,5307,7098,42273,60730,75271,99963,61288,9308,85091,24199,57820,203733,9628,16537,200006,76404,190823,353475,475175,65274,154681,60104,1785,18489,430994,210891,109657,45379,266239,109282,25937,34447,40297,43425
"_HILp_QI12024",9262340,15786,630703,2977,225734,27084,48245,53787,1355637,108203,379103,1479118,2354496,3953438,262555,16512,201646,665994,408321,80139,509733,234254,16538273,60391,3728,74567,8652096,496801,374664,85132,573081,190843,170516,82971,977408,1564,808829,164725,415802,26762,66269,42101,52710,71596,176143,166228,9395059
"_HILp_QI9639",45468,18801,18751,168,24339,21449,47576,31382,65561,6576,59455,295794,35291,1913498,4456,5301,36264,25535,12808,13082,28203,514,1353563,12481,3252,13642,3207842,16115,52057,33544,36427,50813,18527,1520,7064,700,7788817,29538,36649,8350,30415,6389,17255,56185,51880,110435,533607
"_HILp_QI8032",608503,279661,936948,81106,2542076,7766,275681,203372,922688,46125,131499,323710,3378,1815,21188,36192,60678,566555,44716,48562,68952,99787,2520,924789,15232,21082,42397,6100125,55557,43038,45872,89287,54781,69843,20492,6498,29748,90052,402844,34962,30010,70411,51166,176068,83708,80857,11719
"_HILp_QI5402",6613,12349,2286908,340,164735,4727,37622,62255,4474,375736,63713,1230,14580,52868,28230,32935,4069,36622,42004,29615,11828,895,12257,13106,401,2345,29020,52019,6054,5322,7977,4068,842150,650852,1821116,98762,21591,7199,1732088,13591,619418,13311,1216540,657834,18582,2064,1150
"_HILp_QI10294",2943061,368806,8714020,4271074,146994,3201943,175759,349687,712319,400459,68994,43514,114632,349773,294798,2736923,22340228,448570,97818,169366,214258,69330,264859,335055,79349,206723,545115,1629242,41439,113341,172021,175731,197005,80539,83163,136586,61829,226028,147890,140418,629724,434818,149073,4925314,128285,147122,183426
"_HILp_QI9895",33690,79852,65418,53925,54388,30626,341678,76049,593870,162027,7438,442310,20083,47708,18038,1082,160429,162180,24345,111654,20440,70807875,18989,110595,18840,1505,971348323,487733,10794,47160,4675,92829,2172,98735,30944,18270,336685265,23038,216404,70886,73468,104357,25573,81953,39743,97575,28165
"_HILp_QI6149",185419,298389,252211,29205,374723,111861,219802,117748,148176,1234052,7209,1946078,1370680,4765248,139551,137896,204232,351680,157245,494595,160903,930074,166740,174698,24958,67229,3375032,223380,113162,264088,59718,129393,1274716,425834,153884,153794,209348,130193,265368,153987,191859,61808,106922,220409,63525,299216,329106
"_HILp_QI4618",825,10040,31026,20128,30027,8593,33657,39347,265660,179901,672047,53106,16373,88250,132475,81817,513653,14790,36826,47945,10974,27109,1721,33394,793,12632,43594,15308,19943,42921,111588,235042,46100,12504,53217,9961,15580,10091,39464,15068,2114,19725,336825,13017,46918,547326,8370
"_HILp_QI1607",46099,23032,48539,123928,63475,71261,64611,85822,952789,734786,3421125,13070,172064,292,973861,470672,1481366,44209,98618,120578,51342,86789,76906,42806,25601,106421,5189,47194,70576,201276,554144,940053,30765,44789,110608,47197,1491,31887,59796,33409,12178,408,1838136,76238,369870,3327703,20767
"_HILp_QI2430",59163,21535,23965,74440,61860,79644,47536,49071,868294,564211,2903502,9327,151562,13801,980362,314849,1682159,35542,110987,92871,58553,87784,86710,36936,21022,124195,16988,39953,69987,194656,498339,1080336,73909,34846,106440,19482,5330,60674,48081,30537,5553,1001,1452070,46106,306150,3224888,50072
"_HILp_QI4627",175686,178044,448133,230291,727848,123445,631572,457429,335056,2805434,141005,8152776,821925,11856102,170230,276494,2072819,980715,297810,2613593,190831,3287595,195831,731863,10272,37530,11638425,1891584,187826,737170,280522,940171,1454010,1587661,559408,86308,28795065,327515,1086230,260320,399361,237353,141493,477939,1589730,588260,591352
"_HILp_QI20414",13823447,1071046,86550,75665,63416,637448,788,8359641,141189,464,135207,169814,305260674,104027,446194,13256,128038,188882,61169,21165,28573,1334,727663,376280,1842442,8618662,260603,117827,8535711,157073,352362,434815,3676038,253840,27082,4245876,521701,1357,73555,585273,15458835,90459,395564,257782,212433,295204,21354
"_HILp_QI18999",692488,609126,460929,1641268,419224,486830,1396355,100905875,6439,14241478,106037,4485436,30548706,10544464,349547,152961983,983453,225894,414748791,4121716,1857390,66784115,649221,79194086,57776729,1158696,2673798,176021,253855,11559050,1823083,780578,116087,42920,23979,190912,30875568,1336658,18084,598553,1229540,1195275,89587,3165911,13147,12741,157481
