"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_C18n_QI9575",540365,227826,191141,419464,529980,1346453,352681,317112,181989,31962,122346,1155991,392898,6271785,1298713,84512,83120,157903,68938,47446,243772,461843,544711,1993036,60876,509807,3556176,152480,608169,401327,189375,204714,468020,102101,229101,36944,574297,357092,138066,259760,12879,135467,458317,362336,929679,246014,2005942
"_C18n_QI11356",12943454,5688852,5030183,11144971,13113491,29735620,9344685,8310644,4707722,1021931,3025523,29083662,10116666,161181776,32689104,2498015,2453303,3868011,1797447,1540310,6247246,7282643,13612979,52287158,1657028,12385906,88295364,629431,15349392,10075812,4867355,5696134,12183436,2857044,6004318,823253,14536662,9066449,3529113,6760260,355556,3428519,12066398,9106060,23486679,6664323,49400841
"_C18n_QI11689",460544,195479,171975,409598,495775,1178563,337108,302161,168465,17554,96786,1449879,429801,7249695,1285567,85766,83999,134691,55548,54629,204316,261768,497627,2478983,47948,491234,3418278,2260,611224,365315,170829,215964,369124,114637,200207,19869,459935,310919,128867,241440,7664,119373,461620,305666,885880,279030,1908769
"_C18n_QI11730",73043,3983,85745,120552,110814,45758,11361,10200,2906,222,30043,142035,14176,504169,82545,1338,3438,5338,1665,4124,7454,7138,24059,89358,1205,55984,182862,49745,33928,20708,4406,10909,12291,1430,17956,779,19137,13802,10799,10074,1018,9500,23049,16158,91425,9244,171000
"_C18n_QI11907",1259583,92459,775231,2643603,2138514,98767,202934,405487,115816,16516,478492,4331939,259763,12533566,1325352,90704,59959,26784,68727,72514,161092,201816,370151,2091959,30794,1111535,1466456,481,493012,366172,136549,240174,19084,175732,343159,34292,124598,359414,283886,227998,7920,290204,382914,409119,1987631,282489,2448455
"_C18n_QI8194",7484633,4964663,1811506,2698064,3449785,2687947,4401087,3871242,1525586,283746,7572493,39391180,7617176,187205888,24635479,2383535,11378237,3415306,1762058,2427491,2149489,3849610,3354148,44547392,1669550,3505512,36295593,12757849,20677254,7375557,2965004,9555930,22746644,2950992,26664020,1478219,1037478,2841621,1981863,5300810,1432,7500819,2922514,3436876,8665812,8843882,19623971
"_C18n_QI8276",133122,20590,1323,22206,11815,135311,66980,64367,2503,23,4077,272239,30459,2698898,425638,97,24443,29764,1063,19727,1722,19182,29789,726455,1975,25910,576600,7050,130811,55013,20954,11769,431271,9207,25826,1616,9985,8922,3450,1852,631,2577,6167,10871,52645,112992,266810
"_C18n_QI11906",10996143,1227721,3943844,13016078,12703740,2050738,2171978,3226539,713158,152014,915273,16626441,835501,97003641,9984921,322992,277265,1027050,431300,92850,1464897,1166878,5798326,15569133,139259,5024385,19267902,339613,2586905,1685439,898055,741335,1384234,360630,2296539,110619,2580307,4156010,955846,1470724,87517,1612579,1945468,3126253,7259361,1041000,32310345
"_C18n_QI10931",904685,731611,171851,35477,337257,403670,378148,280774,335359,8812,92992,2648963,390796,7269147,2621294,59859,203520,685142,117935,49920,101215,777819,863962,3288290,126575,654259,9274775,122585,896349,627508,436121,74779,3066914,98175,133664,101538,288415,263210,57493,127161,4141,15419,545203,273207,293109,626756,3124826
"_C18n_QI9068",41307,113314,8037,5576,25057,16524,23434,30756,45416,3312,2558,105073,18110,264058,148204,773,22154,55336,4098,29987,3510,25543,49053,167163,23,34994,368688,69033,45083,23053,26508,4719,217161,12682,5612,2377,8689,24644,416,5537,2271,7498,28786,15799,15793,49465,127826
