"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4039","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2072","M2084","P6005","P6009","P6012","P6013","P6017","P6018","P6028"
"PRDM14",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CCDC68",3599,4919,3557,3900,4177,4399,4048,4239,5226,1984,2784,4309,1656,2224,3688,2838,3791,2054,1483,2871,2881,2618,2293,2516,3738,5142,2494,2203,197,2287,3983,2863,4471,4443,6316,2754,3133,2595,3986,4328,2986,2184,1960,4182,2844,2844,3729,2274,0,2070,4713,2295,1513,3560,2417,8782,2947,4018,707
"LINC00441",0,2,2,1,1,5,4,5,5,4,3,1,4,0,1,1,3,1,2,2,2,0,2,5,6,5,4,6,6,3,1,3,0,4,7,5,0,2,1,2,0,1,1,0,10,0,1,5,0,0,1,5,0,13,2,8,4,1,3
"PMF1-BGLAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTHDF1",1765,1350,1204,1389,2150,1333,1326,1612,1808,811,1478,1242,2207,2098,2698,1324,1428,1186,1686,1601,1426,2036,1509,2236,2167,2061,2369,2323,1590,1865,1744,1752,1870,1972,1865,2190,1718,1242,1289,2099,1152,2100,2251,1456,1453,1303,1500,1404,0,1470,1537,1814,1708,2087,1357,2704,1919,1784,1969
"RP1-209B5.2",0,0,0,1,2,0,0,0,2,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,3,0,5,0,0,1,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,1,2,3,1,0,1,3
"RP11-552F3.9",11,8,4,9,3,5,14,13,10,3,12,3,12,31,14,8,9,7,28,11,7,11,8,25,25,10,9,9,12,19,6,23,13,20,14,12,10,2,1,13,7,18,14,10,4,5,3,25,0,15,11,4,15,3,6,14,6,9,25
"RP11-896J10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC079630.4",0,0,3,7,11,1,5,2,3,4,2,0,14,16,13,1,0,1,29,15,6,14,8,39,11,1,20,33,50,6,5,8,0,10,3,13,2,4,3,3,2,8,17,2,20,1,5,3,0,7,3,24,7,8,4,18,18,16,39
"CTB-1I21.2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"MED14P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS21",7473,6335,6344,10090,9851,4598,7645,8725,6232,6837,9223,3450,14728,16392,20864,6344,6103,8568,9926,5255,4387,5380,9706,21329,15532,15033,15955,17658,8178,15431,11684,10726,11711,13241,15045,14426,11217,6627,5323,14526,3540,15793,19049,5896,10920,5869,5559,7284,0,6464,8010,12812,6121,15813,6707,8884,14674,5876,14926
"AC005863.1",1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RN7SL223P",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2587H19.3",0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,1,1,0,0,0,0,2,1,0,2,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"MIR3713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC103801.2",0,1,3,3,7,3,0,4,3,3,3,3,7,1,9,0,5,4,3,6,5,2,7,8,12,10,7,9,5,2,11,9,6,4,9,5,3,2,0,7,2,5,5,2,2,6,7,3,0,2,7,9,10,8,2,10,2,2,1
"AC007682.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIMS3",0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"AC006465.4",0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
"RP11-375A20.1",0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"RNU5D-2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3-54",0,0,1,4,1,0,0,0,0,2,3,0,0,1,0,1,0,0,1,0,0,2,1,0,5,0,2,0,23,0,1,5,0,0,1,2,0,0,0,0,0,1,1,0,2,0,0,0,0,4,0,3,3,0,1,0,1,1,3
"EMX2",1,1,0,0,0,0,1,0,1,8,3,0,1,0,3,0,2,0,0,0,0,0,1,0,1,0,1,2,7,1,2,1,2,1,5,3,0,1,6,0,0,6,1,0,0,0,0,7,0,1,0,0,2,1,2,6,2,3,0
"DCD",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-77P6.2",9,26,29,10,33,13,17,22,14,4,26,22,19,11,42,30,8,18,30,29,38,22,22,17,11,12,19,33,18,15,20,14,10,14,10,22,13,13,21,7,34,39,32,25,22,18,23,29,0,12,17,23,9,9,14,18,24,52,37
"CTC-251D13.1",12,65,49,50,60,50,89,69,42,20,47,77,43,15,96,35,35,56,18,53,94,26,73,60,25,83,35,33,13,6,53,28,84,94,47,46,37,51,41,48,53,54,99,50,30,77,54,22,0,21,37,36,6,18,75,121,70,105,13
"ANKRD44",199,395,293,518,1614,313,249,389,413,403,472,278,1942,1075,2279,393,224,263,828,829,394,1097,835,1809,1046,597,2006,1889,2512,865,713,802,520,603,790,1795,230,380,509,402,539,2075,575,295,1541,451,379,419,0,609,378,1602,708,568,280,1288,1400,1419,2152
"RP5-1006K12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOXD4L2",0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC013437.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
"AC073043.1",0,3,3,0,2,6,9,3,1,1,4,1,6,3,5,1,3,0,3,6,4,2,2,10,0,6,14,13,4,2,3,1,9,1,1,12,1,0,5,0,5,5,5,3,1,4,0,9,0,1,4,0,0,3,6,3,3,19,5
"MAPK7",568,500,473,591,661,725,604,575,586,291,450,553,704,606,735,465,487,451,478,515,430,448,614,640,743,794,694,604,509,488,605,521,633,710,758,569,485,384,400,863,324,654,729,557,442,365,494,648,0,513,555,464,427,962,490,799,479,377,656
"TBL1X",288,396,401,550,841,317,363,431,404,288,463,371,1363,973,1397,250,213,307,776,576,366,851,646,1055,817,442,1508,1286,1882,786,648,617,442,541,623,1038,383,335,405,553,443,1600,939,367,883,414,403,920,0,549,527,917,840,794,298,1220,987,866,1795
"RNU6-1091P",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP2D7P1",3,38,133,98,22,155,42,121,18,5,23,29,67,10,67,23,9,19,35,151,24,17,50,9,5,104,5,27,32,7,15,61,8,18,6,19,12,33,18,11,20,31,43,45,13,9,13,6,0,11,11,10,1,21,12,32,57,31,28
"RP11-146D12.2",1,0,1,2,1,0,5,0,2,0,0,2,1,0,8,0,1,4,3,1,4,3,2,2,0,3,0,2,0,4,5,3,15,4,5,0,1,0,3,0,3,2,0,3,3,0,1,2,0,2,1,0,0,7,3,3,0,2,2
"FAM87B",0,1,1,0,1,2,1,0,0,1,0,4,5,1,1,1,0,0,1,0,2,2,2,2,2,0,0,2,4,0,1,2,4,0,0,1,0,2,0,2,0,3,2,1,1,2,1,3,0,0,1,1,4,3,0,0,1,3,3
"RP11-465N4.4",512,136,126,129,93,345,162,155,222,53,88,215,55,194,119,149,145,64,130,86,55,256,100,110,248,191,63,35,6,203,198,142,155,240,432,78,245,105,101,293,107,97,127,107,77,105,90,230,0,131,312,81,132,186,155,124,123,92,33
"HMGB1P30",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-927P21.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS8P6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR4790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBOAT4",2,1,0,0,1,0,2,2,0,5,1,0,3,3,2,19,1,1,4,0,0,1,2,1,2,3,3,1,1,7,0,7,0,4,0,2,4,2,0,7,3,0,0,2,1,0,0,5,0,1,1,4,5,1,2,4,0,9,2
"AC006077.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012485.2",0,15,17,12,12,8,21,6,8,6,10,2,5,10,9,26,21,13,2,15,12,0,8,22,12,9,1,12,0,9,16,12,23,18,15,2,18,15,11,17,26,16,19,7,13,10,8,6,0,8,11,3,3,7,17,6,23,21,0
"GUCY1B3",29,190,160,185,766,99,153,158,137,142,194,167,859,874,853,67,39,96,787,342,156,779,346,278,267,84,306,1253,1785,553,240,734,150,197,270,872,71,220,143,240,133,1588,659,82,589,151,116,221,0,513,188,836,971,833,107,827,748,1063,2971
"TEDDM1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KIAA1239",1,4,3,9,5,2,8,2,1,6,0,1,0,1,2,0,5,3,1,2,5,1,0,0,5,9,1,2,0,1,0,3,6,0,4,0,9,2,3,0,2,0,1,3,2,7,0,31,0,0,5,0,3,17,7,9,3,6,2
"OR7E100P",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"TXLNA",2563,2285,1866,2278,3631,2047,2075,2311,2655,1348,1880,1668,3635,4040,3844,1882,1804,1740,3615,2237,1879,3733,2368,3567,3824,2803,4267,3695,3923,3393,2378,3384,2572,3185,3469,3536,2321,1653,1709,3508,1935,4386,3648,2033,2344,1791,2249,2738,0,3136,2386,2883,3806,3396,1792,4718,2707,2632,4625
"RN7SL686P",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUXAP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-335P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR52M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-204C16.4",37,26,22,23,40,25,15,26,28,18,23,37,17,33,38,15,17,11,15,19,14,25,17,34,35,34,44,29,32,28,26,19,25,25,33,33,15,10,9,19,8,17,13,24,15,18,19,35,0,26,16,19,26,31,19,52,22,25,20
"HLA-P",0,0,1,1,3,1,1,1,2,2,1,0,1,2,1,0,1,0,0,3,1,0,2,0,4,0,0,1,1,2,1,0,1,0,2,2,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,5
"HSFY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPB1",12715,7861,6977,6985,10834,7780,7610,7102,8057,4416,5374,5306,5385,9036,9501,5448,6412,5551,7266,5730,6020,6889,4934,9602,11281,9942,9489,8036,6137,9333,7779,9124,8679,10349,12249,7753,8105,4469,5912,10553,6391,8412,7355,7306,7170,6393,8495,6802,1,8643,9011,6825,8269,8953,6038,14583,8562,8434,6811
"MIR3972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTC-523E23.14",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-764O22.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"RP6-166C19.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00665",38,62,69,67,200,73,58,107,40,72,49,64,416,196,353,100,94,146,230,172,134,151,264,180,172,216,621,437,235,195,159,182,132,173,159,383,52,59,54,312,75,345,258,42,151,95,68,133,0,132,73,245,171,186,84,382,311,198,470
"MMP24",25,213,175,135,255,86,199,233,193,110,215,159,55,30,283,95,392,135,13,136,258,21,89,120,43,262,107,93,17,13,339,33,189,129,47,141,322,109,162,126,164,99,167,352,131,213,105,41,0,25,201,103,10,270,253,377,124,111,12
"RNU6-724P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-190P13.1",1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,1,1,1,0,0,2,1,2,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,2,1,0,0
"RIN2",1300,2450,2106,2185,2442,1524,2102,2411,2159,1385,1489,1455,1813,1913,2359,1993,2021,2168,1581,2024,1919,1706,1678,1876,3183,2271,1870,1865,2323,1844,2477,2070,2339,2789,2645,1886,2687,1486,2235,2515,1786,2188,2161,2164,1738,1934,3354,1671,0,1882,2803,1406,1811,2935,2340,4997,1927,2383,1859
"CTA-797E19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHCHD6",115,82,85,95,111,58,80,86,65,78,104,56,170,161,105,54,52,81,192,90,52,75,100,232,171,107,146,225,139,131,104,144,102,120,130,150,68,46,42,197,52,212,172,93,132,55,59,129,0,162,101,165,116,195,58,117,133,97,152
"ABC12-47043100G14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC7A14",1,38,34,30,36,34,24,55,37,16,20,13,13,3,37,43,44,25,53,13,39,17,45,44,13,59,17,19,2,7,33,33,61,52,53,32,47,14,23,36,44,4,18,52,10,53,23,30,0,7,28,5,21,24,53,74,51,44,18
"WNT9B",6,35,16,6,23,2,33,5,24,5,3,26,5,4,11,1,2,9,1,5,8,1,10,10,3,17,14,15,1,0,25,2,4,1,11,15,8,13,16,1,10,2,5,22,10,25,18,0,0,3,6,10,5,32,7,14,29,16,0
"KIAA0125P2",0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-882G5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ITM2BP1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS12P31",0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
"WDR48",1564,2876,2529,2399,3931,2300,2657,2500,2688,1527,2157,1535,2853,2477,3851,2457,2459,2037,1851,2608,1982,2091,1950,3613,3319,3288,3916,3339,1994,2325,3005,2703,3005,3461,3686,3296,2757,1658,2383,2916,2239,3298,2553,3204,2749,2487,2862,2463,0,1941,2819,2916,2419,2873,2707,5658,2994,4220,2583
"RP11-216N14.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CRY1",1007,473,745,677,983,559,682,821,771,374,631,1067,671,1246,1075,687,610,564,990,854,743,872,796,829,1271,908,603,879,689,852,806,1049,669,1010,1597,799,1108,544,532,1287,701,1081,724,910,598,770,850,678,0,818,1450,731,723,1021,795,1579,1054,1294,1006
"FAM138D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC010723.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"RNU6-1",3,1,7,14,5,2,7,2,3,5,2,5,6,12,7,0,2,2,4,6,2,15,3,11,10,9,3,7,8,10,17,3,4,8,13,5,8,8,2,4,2,4,4,1,2,0,3,4,0,1,1,2,1,1,2,5,11,6,1
"CCDC112",259,431,356,357,592,244,390,370,260,315,351,309,399,444,537,333,402,261,376,370,357,303,332,384,526,440,395,516,345,460,353,531,473,593,588,414,420,262,335,488,337,510,493,342,452,335,423,704,0,463,415,370,570,541,306,897,405,499,359
"TUBB4BP2",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-31L23.3",0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"AL137229.1",0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0
"ERCC6L",158,139,115,123,250,73,132,95,80,99,76,48,246,321,151,90,77,87,282,147,117,166,120,231,251,178,776,228,114,384,106,240,180,240,270,383,114,58,74,305,91,156,150,83,104,86,107,135,0,261,96,214,227,196,99,296,119,197,212
"RP11-736G13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"RP11-237D3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-381E24.1",2,4,8,12,25,5,7,9,6,10,9,10,16,9,20,10,6,12,31,9,6,21,13,13,13,10,39,14,19,24,9,12,23,13,16,30,6,5,10,12,19,17,13,7,12,10,6,10,0,15,8,14,4,7,5,21,8,17,9
"RP11-1258F18.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADD45G",155,103,83,170,106,234,150,198,214,72,132,112,173,270,193,156,104,119,276,107,122,74,244,185,264,403,141,188,104,136,292,259,202,358,469,149,261,194,79,416,61,211,257,165,107,91,91,128,0,121,204,112,176,227,147,159,164,49,150
"RP11-49C9.2",3,4,2,4,9,4,4,7,5,4,7,3,3,7,10,2,3,3,3,5,4,9,8,8,9,6,10,8,4,3,4,6,7,6,3,7,3,2,3,5,5,13,2,2,2,2,5,1,0,1,6,7,4,5,5,8,9,15,10
"AC073257.2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,0,0,1,6,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
"RP11-124G5.1",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"C21orf58",57,99,107,109,128,99,156,127,70,77,89,62,256,140,181,119,86,128,235,121,138,82,138,179,176,106,344,205,101,189,86,191,185,149,204,255,113,92,66,173,79,184,145,110,77,92,77,138,0,164,110,131,90,138,78,159,164,145,142
"OTUD6B",296,293,253,326,494,314,309,344,377,193,250,238,464,445,537,243,196,164,403,327,335,643,299,438,316,329,658,465,519,410,274,339,336,369,354,591,214,269,248,391,299,465,318,214,312,249,273,309,0,311,254,511,435,365,175,619,399,547,497
"MTM1",1252,1626,1455,1774,1995,1433,1589,1699,1706,896,1133,1430,1390,1480,2151,1245,1412,948,960,1534,1313,1285,1165,1905,2098,1914,1913,1581,971,1653,1642,1760,2026,2124,2105,1797,1327,932,1335,1869,1248,1400,1084,1571,1460,1275,1698,1987,0,1221,1605,1586,1264,2094,1358,3446,1568,2088,1284
"RP11-91A15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-793H13.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-442N1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
