"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4039","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2072","M2084","P6005","P6009","P6012","P6013","P6017","P6018","P6028"
"RGPD8",19,95,168,58,285,182,150,174,186,41,65,100,244,105,50,72,75,97,124,90,188,168,118,80,150,194,63,251,165,174,100,104,202,236,166,118,138,130,131,114,61,272,193,155,59,153,100,72,0,148,81,191,209,134,145,398,169,155,218
"RP11-15F12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"TXN",11016,7381,7579,12362,8011,8403,9998,8034,8223,8470,6769,5725,4652,15685,9453,7875,8141,9005,10950,6110,7759,6910,6686,8727,11348,11352,7014,8194,6499,13960,11300,9972,11107,10809,16705,10013,10153,5075,6813,13690,5060,6957,12619,8456,6726,5203,7320,7712,0,7341,9433,6796,9342,17124,9807,15077,8515,7117,7593
"STMN4",0,2,3,1,3,8,3,4,0,1,1,1,0,1,1,0,0,5,17,2,5,8,11,0,2,1,1,4,1,1,1,6,2,4,11,7,0,1,2,1,3,2,1,1,1,8,0,17,0,7,4,1,8,4,3,7,2,5,21
"RP11-510N19.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-110I1.12",25,31,35,45,98,38,38,44,44,50,23,8,83,73,62,30,109,51,79,59,34,70,53,82,48,61,128,96,46,60,30,40,51,46,74,99,53,36,23,110,53,72,45,29,54,39,35,54,0,46,38,55,38,83,34,74,77,52,76
"RP11-692C24.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRL",7,16,15,23,115,17,32,22,12,15,29,16,93,60,160,28,8,24,23,76,33,52,42,67,46,39,66,215,117,94,28,58,25,40,41,148,14,16,17,53,13,220,85,16,84,14,15,35,0,46,38,102,22,138,15,69,67,53,183
"RP11-436H11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC018892.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USMG5P1",9,9,6,11,9,10,7,5,5,10,26,18,9,9,11,3,3,5,7,3,2,5,5,21,12,9,8,9,1,23,11,9,15,13,21,6,4,3,4,23,5,8,4,13,2,6,10,11,0,7,12,2,5,16,11,9,4,6,9
"AP001469.9",0,0,1,3,0,3,1,5,1,0,0,2,5,3,7,5,2,1,1,4,1,2,4,2,3,1,1,1,1,1,4,0,3,1,4,4,1,3,5,8,1,0,3,0,1,4,1,0,0,2,2,2,2,0,1,4,7,7,5
"RP11-158M2.3",3,11,12,3,9,25,16,11,6,3,19,23,25,11,36,15,10,14,12,11,14,14,15,30,12,10,20,17,9,14,21,10,27,15,25,10,10,8,20,16,21,24,19,11,10,9,17,14,0,8,15,6,2,11,9,32,26,26,5
"RP11-120K24.5",1,0,1,1,6,0,4,3,1,0,2,4,1,0,5,2,2,1,1,1,4,0,0,8,1,3,1,4,0,1,5,1,2,2,5,2,2,1,1,3,1,2,7,0,0,4,2,2,0,1,0,3,1,4,2,0,4,3,2
"CIAPIN1P",7,8,3,2,9,1,7,5,4,3,9,8,3,1,9,2,3,4,8,2,3,4,2,16,5,7,9,8,3,6,6,4,4,8,6,9,2,2,2,5,4,4,5,7,6,2,2,8,0,6,4,7,5,5,1,5,4,4,5
"OR51V1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-655L22.4",0,0,1,1,1,0,0,0,1,0,5,0,1,0,1,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"RP11-307I2.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,3,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
"RNU6-801P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-158G18.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"C6orf120",1602,2092,1849,1757,2659,1628,2161,2090,2255,1007,1673,1594,1891,1907,2760,1462,1901,1359,1361,1814,1594,1594,1328,2634,2091,2422,2438,2286,1748,1696,2227,1869,2325,2519,2297,2237,1925,1237,1789,2118,1583,2117,1765,2008,2069,1954,2447,2023,0,1370,1930,1761,1511,2174,1621,3485,2539,2675,2070
"RP11-127L21.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MKRN5P",0,0,1,2,1,2,0,3,2,0,5,1,4,1,4,2,0,0,0,0,0,0,3,2,3,3,0,1,2,0,1,1,1,1,2,2,0,0,0,3,0,0,2,1,1,1,2,5,0,0,2,0,2,0,1,4,0,1,3
"RNU6-564P",1,1,0,0,0,2,3,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,5,0,0,0,1,1,0,0,1,0,0,0,1
"CTB-96E2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-618I10.1",0,5,0,4,0,0,3,3,3,1,5,7,0,4,3,1,2,1,5,5,1,4,3,3,2,3,3,5,2,1,3,2,2,8,1,1,1,1,3,0,1,2,2,1,0,0,0,0,0,2,1,0,0,0,2,4,0,3,0
"RP11-838N2.4",15,4,5,5,7,3,0,9,5,9,7,6,6,54,5,5,1,2,44,5,14,31,5,17,70,5,9,18,20,84,5,32,4,14,22,3,5,5,10,14,5,21,11,6,4,2,5,17,0,40,7,4,25,22,5,22,11,7,34
"RP11-179A16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
