"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_HILn_QI2308",NA,NA,NA,NA,NA,NA,NA,72,396,15489,NA,716,1046,3663,1092,NA,541,1701,97,5230,5390,2584,156,77,12905,498,NA,1001,NA,2913,NA,193,7354,NA,36,539,4506,472,NA,86,2621,NA
"_HILn_QI17250",6753,9557,26351,5877,9647,6677,11192,12364,6420,13544,20120,10523,14442,8430,13653,4029,24815,5347,13526,3307,38717,8069,3887,1372,23545,5538,4838,17446,4363,4888,17334,8383,12167,7704,2813,8744,13654,1363,14220,10259,3808,6270
"_C18n_QI798",17541,17494,8251,10241,17054,18406,9428,12130,11332,20743,26621,32715,15563,14191,5246,7801,6223,4962,8527,4161,12367,7604,8421,8340,29427,12319,11815,7896,70559,5994,10181,5605,10366,19596,4711,9873,14704,8503,17526,20418,5297,22433
"_HILn_QI6448",NA,NA,NA,NA,NA,NA,NA,NA,3894,10,7477,NA,29,6959,NA,NA,2738,22,9528,7,NA,NA,NA,NA,NA,26,14,11,17,77,NA,609,20,NA,7,54,306,17,2535,NA,NA,NA
"_C8p_QI24555",NA,194,NA,47218,NA,3945,NA,6180,NA,22902,38526,NA,NA,10407,NA,1880,18864,40070,NA,NA,NA,2932,39485,NA,NA,56898,NA,14668,NA,5079,7075,36789,NA,23694,1724,16498,NA,22122,NA,1527,4013,NA
"_HILn_QI19536",NA,NA,NA,NA,1348,NA,NA,NA,114,NA,416,NA,19,29,47,124,459,NA,NA,NA,1209,NA,480,NA,NA,NA,986,232,NA,NA,NA,NA,108028,195,NA,NA,261,NA,NA,88,NA,NA
"_HILp_QI24254",NA,289642,183755,750562,48423,7334200,146767,1023477,1000074,57207,5295824,193385,373237,557323,1323562,153280,1200621,493170,2246672,227844,538512,810106,500537,388069,18063,633567,4862706,2139132,3304939,258637,339313,77135,51929,1899355,1437365,675575,2591,1057078,342091,8036268,364619,652665
"_C8p_QI26517",NA,NA,NA,NA,NA,NA,NA,5176,20551,NA,265,NA,7839,50,NA,NA,2184,NA,NA,NA,7909,NA,9925,4559,35,9,25376,34,NA,NA,2051,NA,3039,6216,NA,5744,NA,810,NA,NA,18,NA
"_HILn_QI18714",NA,NA,609,NA,NA,NA,NA,NA,NA,NA,1063,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI21559",NA,NA,4543,NA,2280,NA,NA,271,151635,31193,NA,NA,1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3252,2229,NA,NA,NA,NA,18,7633,NA,9184,NA,NA,NA,NA,NA,NA,NA,NA,32742
"_C8p_QI27845",8535,4487,27129,148668,59169,NA,80608,206,NA,339752,NA,NA,78062,NA,NA,3933,NA,NA,NA,29867,NA,NA,NA,3272,NA,849,771,NA,NA,NA,NA,102442,897,258890,12416,3061,7320,NA,72892,NA,1172,NA
"_C8p_QI3316",17761,2516,5169,25244,8862,3370,6618,5455,21401,3991,6492,3895,1548,4313,3797,3502,10248,7638,5854,NA,17242,2700,2041,1682,6002,7021,5317,6194,7457,2556,10593,3165,6481,24998,6893,4730,10414,20594,6597,1842,491,4360
"_HILp_QI20556",6175,NA,NA,1956,301,NA,NA,NA,7340,NA,4915,137,12474,NA,NA,270,815,2059,NA,13536,NA,NA,231,NA,40429,NA,872,NA,NA,73,NA,NA,NA,NA,21488,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI17859",NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,7417,NA,NA,90045,12553,NA,NA,NA,800080,NA,7128593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79518,NA,NA,NA,NA
"_HILn_QI20118",NA,8376,NA,NA,NA,NA,NA,679,NA,16934,1446,NA,17267,2798,NA,NA,48496,30024,8265,NA,88870,NA,51587,40873,NA,12260,479656,4147,NA,96818,NA,323853,NA,12294,12594,6434,1458,15579,7658,14073,NA,NA
"_C8p_QI25167",NA,NA,NA,NA,NA,14957,NA,856,NA,NA,627,11,NA,NA,NA,NA,NA,NA,NA,374,14930,NA,NA,NA,NA,NA,2161,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,10163,NA,NA
"_C18n_QI7881",NA,170,NA,NA,NA,1339,NA,NA,144823,NA,NA,NA,NA,NA,NA,475,NA,684,24347,NA,16837,NA,NA,8455,6891,NA,NA,NA,NA,1487,14108,NA,168711,7497,NA,139,448,236,NA,2690,NA,142123
"_HILp_QI9638",69551,57148,142462,101768,72360,166164,28890,12660,55880,63934,41285,572438,182610,453,4340,2464,1835,NA,171728,2491,53454,7238,162,10659,714347,60406,157304,13488,NA,NA,107452,33386,44497,319704,1639,35815,5568,NA,15191,58859,30706,169611
"_C18n_QI199",23035,18656,17417,20554,34306,23539,17970,23087,18963,40432,18174,50446,23380,10188,4807,9694,9196,4029,11313,4417,15503,14091,14177,10314,20935,5446,12581,8606,127846,4602,7707,7796,16129,33181,5878,9162,15507,4812,28362,16953,6539,21598
"_HILp_QI13079",48336,625850,2017,66514,9372,26990,421426,302729,309822,98874,124172,36907,210234,149640,402028,766094,497283,1159426,1588585,42277,491402,740236,251306,783063,62052,122845,775803,524864,71779,851700,559778,385080,346578,693657,245235,416404,169656,226156,76170,369035,1019896,105671
"_C8p_QI29539",50977,22559,176425,1696,52214,635986,55987,491,402656,40756,11542,9077,139331,6280,49173,5005,4877,225,123437,2890,61601,NA,724,65883,42005,15387,22268,52676,77949,448,46876,17536,152789,37247,27882,2583,2922,792,126691,41098,7469,67442
"_HILp_QI8767",NA,1843,1846,NA,NA,NA,809,NA,1703,NA,NA,28494,NA,NA,NA,NA,NA,NA,NA,NA,NA,38781,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,NA,41781,NA,NA,NA,NA,NA,NA,NA,10290
"_C8p_QI10025",118,NA,NA,NA,NA,NA,NA,NA,8272,1672,NA,NA,NA,NA,NA,2687,NA,NA,NA,339,NA,NA,263,NA,NA,NA,NA,NA,NA,25429,NA,NA,NA,NA,NA,NA,5734,456,NA,NA,235,NA
"_HILn_QI2132",275,19474,33736,3842,7488,1518,12104,1633,27,48905,322,NA,3915,9092,1680,767,52873,34382,3134,168,NA,18405,1350764,467,NA,1243,148,1676,79890,4644,411691,24690,NA,NA,37118,2735,32676,409,33479,5273,86,NA
"_HILp_QI7496",136,2363,NA,521,3114,NA,3016,3093,NA,912,NA,NA,NA,16426,1139,NA,6437,2395,566,231,NA,1663,2976,114,NA,1175,NA,NA,NA,23810,NA,12701,2522,NA,865,1204,2813,399,142,NA,1447,NA
"_C8p_QI20263",818589,213798,88039,140949,73169,151574,325705,22278,183811,26422,51432,1034083,344921,369365,422145,202229,122929,36843,91432,2459074,172748,192519,167292,93963,131974,702078,1464746,162875,274957,7798,109827,317253,79111,418058,136301,10954,1226,2406,68023,292687,422616,252791
"_C8p_QI17666",NA,6195,13086,7504,970,NA,6708,6391,2533,3303,1693,NA,1242,1965,12238,5610,10911,11631,11882,NA,NA,5538,256,8078,216,21679,6321,46396,15113,NA,23588,10975,306,36637,5249,46190,832,19156,16727,352,3142,NA
"_C18n_QI3564",2104,23,2058,609,3755,725,23583,7995,69,129,950,NA,897,3654,2087,1263,1951,5021,404,21,32,2134,1531,1173,32,583,3742,5157,NA,17597,802,6885,NA,13,3542,43,341,483,1269,1995,924,NA
"_HILp_QI18252",NA,NA,3047,NA,NA,NA,85,NA,NA,NA,NA,527286,NA,NA,NA,NA,44265,NA,104298,NA,8072,NA,NA,NA,NA,NA,7042,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,12398,NA,NA,51665
"_C18n_QI11951",3791,4721,400,2106,2606,6584,12745,25026,2176,853,16074,2070,1834,19505,40356,2363,18585,286,35509,824,40546,8153,5480,10871,20649,7089,11509,1791,542,22661,4972,14965,13286,1685,7343,14723,558,18615,13550,7124,1681,234
"_HILp_QI23432",NA,NA,NA,NA,NA,NA,6461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10588,NA,NA,5301,NA,NA,NA,NA,62190,NA,25,1337,NA,NA,NA,NA,NA,NA,NA,NA,14687,NA,NA,5890
"_C18n_QI11305",NA,NA,NA,42246,NA,NA,217,NA,50811,NA,NA,8697,26771,63739,25916,13898,NA,25598,4150,NA,1529,4262,NA,20093,40757,NA,573,11916,NA,16857,4086,NA,NA,NA,NA,2118,1544,NA,NA,NA,9131,NA
"_HILp_QI21413",NA,NA,NA,4860,NA,NA,NA,NA,11640,NA,NA,NA,5531,313,NA,NA,NA,NA,NA,NA,4597,NA,NA,NA,NA,NA,NA,NA,NA,132004,NA,NA,NA,NA,NA,NA,NA,NA,NA,13505,NA,NA
"_HILp_QI14865",NA,NA,NA,10922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16769,NA,NA,NA,NA,NA,NA,NA,4993,NA,NA,NA,NA,NA,NA,NA,306,NA,NA
"_HILn_QI10212",166,35187,12716,109783,587,NA,43145,15685,1705,60160,9536,768,NA,85542,23986,29410,34170,24205,2049,3576,23002,13373,80470,13914,2068,3270,13856,27476,2965,196279,5353,26686,NA,16298,8834,28845,138086,52474,280393,46016,7501,1376
"_C8p_QI16627",5034,11023,NA,1398,NA,NA,NA,NA,NA,NA,801636,NA,NA,16454,493925,NA,2449,NA,NA,553769,NA,8232,75651,NA,NA,1100,NA,16609,NA,NA,NA,51023,NA,NA,151939,26533,NA,33783,NA,NA,44816,NA
"_C8p_QI5045",14,NA,357,110,NA,638,256,127,NA,NA,356,NA,2596,173,753,377,98,44,NA,461,NA,782,5,NA,NA,NA,NA,NA,NA,7,84592,NA,NA,365,339,95,205,2795,1870,NA,1568,NA
"_HILn_QI6947",NA,NA,395,NA,356,NA,NA,1310,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,235,NA,NA,NA,NA,NA,NA,NA,468,NA,NA,NA,357,425,3502,NA,916,178,NA,NA
"_HILp_QI15402",NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,NA,NA,NA,373,NA,NA,NA,NA,1220903,16,5838,NA,NA,NA,1724,NA,355099,NA,3236,NA,NA,NA,4080,NA,5076,NA,NA
"_C18n_QI7396",13461,23588,5183,3174,14156,NA,26224,15240,8707,20634,21070,7169,7994,12320,9571,7168,19883,7959,8105,8210,6495,6730,27676,6077,25157,16563,7983,6209,2016,7103,13981,17954,4856,6924,16250,9279,29629,3835,13139,15022,8494,9269
"_HILn_QI19787",255,204,54,112,34,450,608,25,19,126,202,18,192,184,5,34,116,6,53,82,55,137,64,27,72,147,184,134,129,34,143,100,18,362,143,108,157,478,133,726,42,162
"_HILn_QI21385",136,185,131,NA,139,NA,NA,78,NA,174,NA,NA,774,364,NA,341,NA,21024,900,NA,NA,465,NA,NA,NA,459,NA,86,533,158,269,NA,NA,83,NA,190,445,NA,NA,271,385,148
"_C8p_QI24534",NA,NA,NA,937120,NA,NA,5277,NA,NA,NA,345313,NA,NA,NA,471,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,4881,NA,NA,NA,NA,NA,NA,17090,1279,786,NA,NA,2489,NA,130,NA
"_C8p_QI22675",51048,92209,68899,NA,1659,41018,245336,129008,217986,363697,265169,1342,105765,130322,86449,31428,35579,20201,506819,15408,354377,13536,135927,826474,84976,264093,552813,200688,16845,58894,152506,113211,137171,621672,60804,490345,25310,5534,350884,172704,100154,276772
"_C8p_QI6073",22628,NA,10965,NA,12424,6252,NA,296,947,NA,NA,NA,NA,108,4915,380,NA,42666,NA,15057,NA,NA,2492,NA,NA,NA,NA,NA,1313,4258,NA,1574,40893,NA,16567,NA,12577,405,NA,NA,317864,NA
"_HILn_QI19906",NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,NA,199,NA,NA,NA,NA,NA
"_C18n_QI13593",NA,14372,NA,711776,NA,NA,NA,318049,NA,214792,NA,NA,NA,NA,201712,NA,299294,447703,NA,619,NA,194919,91882,3489,NA,57422,16939,110175,NA,844890,NA,192,NA,NA,4542,17644,21871,1281986,NA,NA,2149,NA
"_HILp_QI11943",NA,NA,NA,52879,NA,1276019,NA,NA,7811,NA,56863,NA,NA,5487,NA,445,NA,NA,NA,NA,NA,270567,NA,NA,NA,NA,NA,36122,NA,NA,249914,NA,NA,NA,2896,345306,11957,97465,32667,NA,60298,NA
"_HILn_QI13902",NA,NA,NA,NA,NA,NA,199,537,NA,NA,NA,NA,529,221,197,1538,2847,8683,NA,160,655,NA,534,NA,NA,NA,NA,1788,NA,4114,NA,NA,NA,NA,370,NA,5873,89,NA,11518,656,NA
"_HILn_QI8337",NA,NA,NA,NA,NA,NA,535,NA,NA,233,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,5368,NA,NA,NA,NA,NA,363,NA,9778,NA,NA,NA,NA,NA
"_C8p_QI1941",33578,10666,97913,6259,169883,34924,40864,32855,62868,23645,5046,122379,41572,13974,44881,189432,13096,72554,18744,71030,67088,89675,NA,28162,90788,26317,7540,74284,13906,56393,5435,11803,3969,10473,33591,18307,14932,58901,21390,30684,89095,39033
"_C18n_QI7696",122974,343059,257118,188787,191985,209631,77987,102605,170186,216533,800786,NA,151591,272553,257612,1000238,238305,266676,151472,209180,26728,170864,297098,239996,NA,383196,237455,343667,57961,398561,93752,162563,11045,93424,425380,199820,43270,289129,78960,326753,245678,11247
"_C8p_QI27599",159,5,NA,87802,NA,NA,116500,228214,22,22,3084,11,20,13116,NA,45,NA,NA,NA,NA,70,1389,NA,4204,NA,3499,25,NA,2828,NA,3140,NA,13,99,NA,486,163,NA,86,34,NA,82
"_C18n_QI11879",695,7352,7269,2492,NA,121,10229,12479,7774,7755,630,2664,2953,5746,19255,14747,29431,40954,10454,3667,11966,24541,6063,19329,4137,2560,10758,18264,NA,47449,12549,7924,2696,6930,12270,15539,29804,5046,NA,NA,27816,928
"_C8p_QI17983",30177,130,18559,91567,35196,46358,71288,13957,4479,510,11507,120483,64937,322,18727,533,8,69,5306,2162,1928,21437,2014,8772,116021,1572,63180,101838,5596,522,6,35,30935,10613,3942,74900,NA,2049,22936,6,71,426
"_C8p_QI24725",12946,94968,NA,6967,29316,4394,4282,3717,168442,58745,8941,4529,NA,20313,2784,NA,103938,394,36820,18827,7433,5905,44045,95414,21934,1982,17417,NA,13,2139,15142,9738,151,32490,4127,2075,4073,43903,12814,NA,58780,289597
"_C8p_QI10830",177170,188690,189320,42674,70629,36674,14670,23460,23333,1317,232356,NA,12405,12213,81557,35872,17606,124839,754,17251,12489,1922,8044,14206,25,39534,55205,40347,1844,217871,6985,154046,531,3404,370667,30604,13810,22906,7571,19278,51742,473
"_C8p_QI15069",17772,941,NA,4262,690,NA,12513,86,4217,87,1035,2349,NA,88,1587,NA,79509,151,NA,7625,NA,67,636,112,NA,NA,161877,2164,NA,7237,283348,2075,NA,NA,8156,NA,45248,4897,801,NA,193,NA
"_HILn_QI30381",553947,534076,387760,450918,514793,67025,419303,631452,589717,190108,211831,520,449159,805468,480863,1890637,1756999,1311763,1307006,339977,602428,835830,524531,1037247,NA,540296,332883,1147829,70201,984197,359420,926692,178818,373910,1058020,466971,72478,328649,311891,339076,1653171,186934
"_HILn_QI1818",4521,450,5495,616,NA,NA,1746,717,595,NA,NA,NA,NA,NA,NA,931,NA,NA,NA,NA,NA,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI16307",1569,NA,NA,4372,323,304,499,1737607,NA,7495796,NA,102806,NA,3423303,590,NA,2513471,2525,NA,774316,17238,2393866,3173066,703,555781,NA,521,15228,NA,NA,289,NA,4452645,NA,NA,162,NA,150910,NA,NA,744,114
"_HILp_QI1669",3424,6536,4020,2839,2599,1890,7484,3359,22557,1965,19821,135920,5919,6940,6670,3234,3847,8077,5220,577,84026,3116,2322,2042,17842,3871,4384,4488,4645,4907,3822,3343,32566,5824,7285,2385,7573,3253,2670,3266,22195,12397
"_HILn_QI16960",141,NA,2733,NA,NA,NA,164,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,4229,NA,NA,410,517,NA,NA,NA,NA,NA,NA
"_C18n_QI4088",11693,8583,8622,6761,37861,2604,16529,6803,28938,14697,42168,54410,89548,30042,38262,20694,22403,67091,14047,80969,11176,14675,50372,15270,101433,45062,7212,42226,86834,3182,9185,79969,35985,20307,52930,2842,14779,8228,27363,32955,21930,42429
"_C18n_QI13848",1564,NA,NA,NA,36164,NA,NA,NA,NA,NA,453261,NA,NA,14012,NA,NA,NA,NA,13504,57999,NA,NA,26333,30929,NA,16330,NA,NA,NA,NA,NA,4097,NA,NA,48328,NA,NA,17970,1215512,121043,NA,10492
"_C8p_QI16154",1410,NA,NA,NA,NA,1724,486,2922,496,6097,NA,NA,NA,4462,NA,NA,1801,1655,NA,3363,694,1908,3011,240,487,NA,NA,NA,NA,NA,NA,NA,8609,NA,NA,NA,NA,650,NA,NA,NA,NA
"_C18n_QI1480",56269,36194,79209,11970,125797,16601,56224,63497,22757,266905,40388,693204,93944,46951,55433,69936,44169,91992,36752,487255,35838,125147,35029,29623,286568,111264,33244,55784,853781,51700,15498,62794,110378,23674,35631,41333,40217,52835,50893,53318,137917,21101
"_C8p_QI2062",2123,NA,121,16312,267,NA,NA,9011,NA,590,801,104,237,1075,1372,3932,2294,12674,NA,44982,NA,NA,148,9997,NA,5506,166,31724,NA,4565,NA,40295,NA,2630,18162,NA,NA,9600,NA,540,1020,155
"_C18n_QI8545",6842,637226,71784,100589,235190,1479,19694,37884,239031,NA,NA,10516,2804,NA,32,85950,NA,NA,NA,NA,2278,39202,NA,NA,52911,NA,55,37,3595,54,1428,1281,9298,170155,37,NA,119,NA,NA,323,NA,3840
"_HILp_QI2662",NA,NA,6161,3251,NA,NA,1598,5730,NA,15414,NA,NA,1250,1448,4239,NA,NA,15997,NA,NA,NA,4383,NA,NA,898,13158,NA,19436,8592,1477,2773,NA,NA,474,10196,NA,790,NA,503,1598,15187,NA
"_C18n_QI12189",NA,25915,22013,16304,90770,27164,9009,23639,60113,10196,38448,136702,70943,5025,102959,17496,62463,27733,63529,NA,23257,45641,65599,27853,26581,96134,41388,57846,2997,6133,15085,32980,7091,24900,16289,16423,4415,9242,17648,121825,9518,22387
"_C18n_QI710",13000846,4057041,6727224,8542721,10756123,7421,9201741,2372734,14820240,37846,11104,4555,16942,16418,12981,21384899,16346,18005,5937,5829,2020336,10423428,22541,14331,2644,12252,14984,14339,9788,28648,15421,24565,33324,482155,21037,20433,52913,32251,15750,28075,9871,11098
"_C8p_QI22701",NA,NA,NA,618,NA,65,NA,NA,NA,NA,NA,8645,1653,519,NA,827,NA,NA,6078,NA,NA,NA,NA,NA,12937,NA,1036,NA,NA,NA,45775,1704,14919,6231,NA,329,NA,NA,8858,NA,NA,NA
"_HILp_QI14483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI4475",5981,12715,19513,5127,3724,8667,13154,11179,36318,4789,26235,NA,11159,44015,7089,2727,2039,3754,4388,54102,38592,3041,16706,9340,170,4023,7993,4719,3428,2637,6625,16139,3507,6139,16343,1645,1081,4433,12552,2254,21897,43636
"_C8p_QI15060",NA,NA,NA,2676,NA,NA,NA,NA,7242,NA,NA,NA,NA,20,307,NA,3061,56696,2311,3077,NA,NA,NA,NA,NA,NA,1457,NA,NA,1779,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,217,17934
"_HILn_QI2263",NA,NA,NA,NA,NA,NA,NA,NA,NA,777,NA,NA,NA,NA,NA,NA,4310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7788,NA,NA,NA,NA,NA,NA,NA,NA,8008,3739,NA,NA,3199,NA
"_C18n_QI12537",7868,22088,27518,6653,16825,343894,11646,NA,25688,789,127051,308706,67577,NA,38000,5747,13217,57168,45985,NA,41586,109154,13871,14021,133915,11078,59071,12975,27080,34071,18695,13328,37527,51093,35556,6974,124,51120,19283,47855,58755,119232
"_HILn_QI23365",194790,149067,599707,72373,937185,182249,140422,248294,209840,604404,237814,782480,394762,287383,350867,788512,110408,472074,299008,1590393,164357,336938,112591,225370,703601,371922,135457,471437,2018453,588885,69293,170875,204107,120530,294866,473103,248569,498314,421963,561614,571167,112809
"_C8p_QI19794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5258,NA,NA,1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI4003",8093,29698,2859,76330,4787,842,505,80807,6564,43194,2763,NA,4002,4723,5492,9355,19224,1673,25030,17024,146,22453,8085,3995,NA,11934,5152,26128,13278,13299,16939,6278,NA,10087,5662,64709,35459,102162,5873,12820,12791,8347
"_C18n_QI8631",17287,35455,6154,32034,8879,3608,45215,52732,10619,30914,15373,38087,26253,15576,19903,34233,13131,22180,8796,4178,26497,13658,2751,15547,59425,18772,18293,11484,NA,11988,26934,16990,NA,33459,16505,13326,6180,42467,21867,19768,18490,4960
"_C8p_QI14933",67384,403,19803,365615,72231,NA,91572,3338,NA,NA,65707,411379,7268,249881,3339,NA,NA,NA,2655,NA,671,12063,NA,8116,15763,1673,35813,20957,NA,1360,1143141,NA,NA,11389,35365,114884,NA,NA,5964,NA,NA,NA
"_C8p_QI24192",NA,NA,NA,NA,NA,NA,NA,2791,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18202,NA,NA,NA,NA,38896,NA
"_C8p_QI882",NA,930,NA,NA,4956,NA,NA,NA,NA,NA,30891,NA,NA,666,NA,764,NA,NA,145,NA,65,NA,NA,376,NA,2194,NA,NA,NA,NA,NA,606,NA,NA,19999,NA,NA,2936,4762,8409,NA,3935
"_C18n_QI10643",28094,992,10312,4763,2612,3590,3957,18705,29254,4828,46898,16065,176534,110424,23002,7134,3050,75111,54743,115945,33747,4101,1992,3591,1386,55789,793,7631,14169,35672,5737,39437,NA,2483,31662,11915,5365,22486,5914,4326,16520,32523
"_C8p_QI8727",1592,13140,19938,8987,NA,NA,10222,NA,NA,4256,40340,NA,286,15188,59592,508,6203,36050,NA,91585,NA,4145,23870,1566,487,2953,4555,4582,NA,57491,NA,12419,1999,NA,NA,197,5712,2547,NA,NA,2032,NA
"_HILp_QI9851",547,124,10533,1118,404,285,1093,1343,85,1773,1571,542,1502,1593,1675,7116,728,34494,1600,356,70,1099,1789,1116,191,762,257,1128,2316,1214,4967,1080,2097,35,3143,1201,9633,310,2535,474,1018,714
"_C8p_QI5899",NA,NA,84,537,514,188,114,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,954,380,585,NA,NA,NA,1526,7471,5424,4153,NA,45,NA,723,NA,797,NA,NA,385,NA,15302,NA,144,NA
"_HILp_QI9329",9988,29833,47004,19426,10049,41935,91377,19205,7525,41340,3812,107306,17674,71757,52839,28347,67704,67157,95721,38903,14570,84302,49546,13870,3765,39753,11266,36045,1614,74494,84002,25999,67870,1193,129730,26366,178962,35373,142929,211580,55190,136056
"_C8p_QI3826",27753,63630,274275,1657,122040,180259,17273,274137,11997,2627,270468,1237,125710,55867,3577,9825,29489,91444,15006,NA,33618,NA,10814,57650,21444,47671,23530,5177,248707,1067,6366,31585,10352,8303,33632,34562,142,2486,292208,29003,7516,138833
"_HILn_QI11120",540,31104,3752,7097,3128,210,27219,66945,22498,1039,2839,295,2907,43592,896498,81806,92781,160660,50252,15301,149388,60659,10539,83385,5368,14957,27338,60812,NA,194550,45044,9777,26224,16405,32318,51199,144008,22166,338,2169,138624,NA
"_C8p_QI22513",NA,NA,1337,NA,NA,NA,1836,26690,NA,8219,1969,74379,20807,40331,414,NA,581459,681,4534,185278,388,148606,98705,25499,NA,53278,26784,10156,NA,15058,1262,4553,8099,13427,NA,7943,NA,NA,NA,792,16807,NA
"_HILn_QI6316",NA,1943,NA,573,NA,NA,810,949,573,1749,NA,NA,NA,940,3933,1521,1013,NA,NA,NA,694,NA,3701,NA,491,3495,285,436,578,288,313,2665,NA,636,2535,672,412,915,NA,NA,2154,NA
"_C18n_QI8526",NA,24423,8885,32829,6275,71129,10015,44480,6998,53180,133677,428,8860,358215,42014,31454,19687,114851,14763,359542,13435,126470,33338,59672,1374,106335,196773,244339,165631,64983,409020,293059,132,5058,117498,156453,8002,263529,15876,29008,33600,324
"_C8p_QI29443",NA,NA,NA,1312,NA,NA,NA,1102212,NA,159967,NA,97781,NA,910635,NA,NA,3915287,NA,NA,788065,NA,1497194,2443053,15736,34577,125567,NA,NA,NA,NA,NA,NA,663573,NA,NA,NA,NA,79271,4152,NA,NA,NA
"_HILp_QI7492",186424,173657,378371,42515,476711,107597,188891,190053,293286,197292,31642,907482,74580,83124,202781,613035,103100,313790,76695,573595,72392,211496,9160,27893,292290,150676,62688,257682,140610,365742,45361,62254,7268,151527,267757,113849,208862,239810,180068,162245,273415,120948
"_HILn_QI7503",19364,4390,4664,5633,5279,8671,3659,1127,533,119912,742,17784,1172,2488,16382,8167,809,3869,49,15381,4528,1210,7968,468,47157,31200,9116,605,33133,58963,2430,4426,22090,12148,179810,11262,29069,30446,606,120,1164,2070
"_C8p_QI7695",1749,15261,7208,16419,10559,18729,12403,40831,28097,NA,12244,NA,1367,5013,26387,18254,15324,6748,11540,5388,738,18743,23759,19186,1820,4725,5375,22709,NA,25402,1526,50639,6536,988,24129,25061,255,23232,4476,827,43511,530
"_C8p_QI24501",4339,5192,17203,157953,925,27998,19566,47729,28154,9467,8467,82809,25535,21056,47540,13266,9286,26181,49957,599,53043,1873,53769,70325,3190,23601,102873,97612,1078,1068,872,22073,190023,208596,36092,79459,2091,44205,43281,17894,39635,53855
"_HILn_QI9726",4953,NA,NA,NA,NA,NA,NA,304,4771,586,781,2815,NA,1229,NA,513904,3908,101436,1555,NA,9686,84,NA,117304,NA,6491,26925,1339,NA,17175,2331,26648,NA,25057,609,51904,6698,22489,NA,21138,NA,139280
"_C18n_QI903",264521,119959,14974,25928,35748,52,20764,116020,31104,901,69,289,1147,NA,114,84463,264,NA,65,NA,NA,9231,57,155,220,1254,303,18,9177,NA,NA,3862,91,44208,2742,NA,123,NA,46,1410,19,6112
"_HILn_QI11893",NA,NA,NA,1073,NA,NA,NA,174,NA,NA,NA,NA,NA,191,4620,185,458,NA,745,NA,648,NA,631,504,NA,NA,92,418,NA,311,91,NA,NA,NA,NA,NA,3824,305,NA,NA,972,NA
"_C8p_QI8926",1315,13288,2846,6597,3087,3793,7151,1192,7146,460,516,29785,NA,NA,26415,15102,1117,18302,4383,9062,62424,NA,NA,10549,41141,9005,5721,8156,NA,51889,NA,13353,69422,1217,40059,10161,8355,14002,899,16337,6705,6273
