"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_HILp_QI1754",NA,450,NA,NA,1820,NA,79,87,99,6191,8873,9309,NA,NA,55,1296,NA,739,NA,377,7,140,NA,NA,NA,NA,NA,120,1736,17184,153,NA,96526,478,785,NA,NA,NA,1219,NA,NA,561
"_HILn_QI3832",NA,6,NA,NA,9,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,5403,NA,NA,NA,NA,NA,2875,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI18586",62239,7831,2110,1415,698,9122,194,3532,NA,10305,NA,3258,894151,21445,NA,42546,84990,NA,33302,392,170729,98464,540481,NA,578,279,NA,565,NA,7963,375,NA,6981,1384,NA,18753,12747,7254,173,3868,3553,NA
"_C8p_QI8535",2320742,823837,1656892,22097764,5416862,748782,2108445,2576950,5421618,6418156,991391,322705,518752,342279,2011531,872320,1311081,1061997,1049235,2284022,361167,728086,1447764,1020414,1641984,1311677,1338499,953229,315241,626638,378919,1518448,1172655,1652501,2251460,1049529,303232,1777270,1005943,1282331,1839865,1110572
"_C8p_QI6207",23,NA,10897,33556,213,NA,27,14914,NA,5,17152,2610,2830,36879,3923,1278,553,8,13,147,433,NA,NA,454,NA,749,NA,NA,481,NA,375636,459,1585,1749,NA,14343,192,174,NA,1608,NA,7
"_C8p_QI17790",218825,358454,96475,305313,123852,105233,174039,44817,14714,21734,190691,112000,151630,47032,168015,19865,91580,27963,78013,22462,226583,33627,178075,173414,37065,194296,253254,290304,NA,3291,5978,155680,59868,211418,146503,202899,4447,165800,330873,108819,57129,87619
"_C8p_QI15768",NA,18548,NA,984,NA,NA,6524,402,NA,NA,172,376594,93670,NA,224,76965,NA,619,NA,89531,NA,6415,386,208377,NA,32599,309,6370,NA,25,809,42,114046,NA,17,81958,NA,NA,NA,NA,27788,NA
"_C8p_QI29639",NA,NA,NA,1978,NA,NA,NA,NA,NA,2835,NA,1669,NA,NA,NA,NA,NA,2358,NA,NA,1028,245822,NA,1826,NA,NA,NA,NA,NA,NA,NA,NA,2547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI4469",63595,284,135497,266,247872,10386,20848,482,NA,1895,1077,2135,1035,48,1128,117,527,2166,2751,382,NA,NA,2253,938,1398,360,1983,1647,1359,2079,7029,475,NA,NA,10409,685,585,305,6764,1055,600,2082
"_C8p_QI522",NA,NA,562,157,NA,NA,863,NA,NA,NA,58594,NA,861,254,NA,NA,NA,NA,NA,NA,NA,130,201,NA,2231,NA,NA,NA,117,72,92,NA,NA,NA,NA,NA,864,NA,12490,NA,378,22
